Object-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/flymine_DataSet	http://mo-ld.org/mine_vocabulary:hasDataSet	21767470	79
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasBioEntity	21008922	5711215
http://mo-ld.org/resource/flymine_Gene	http://mo-ld.org/mine_vocabulary:hasGene	19477821	337915
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	19477821	337915
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	19477821	337915
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasBioEntity	16266728	5019427
http://mo-ld.org/mine_type:Type	http://mo-ld.org/mine_vocabulary:hasType	10240269	92
http://mo-ld.org/mine_type:Length	http://mo-ld.org/mine_vocabulary:hasLength	8731466	44502
http://mo-ld.org/resource/flymine_Publication	http://mo-ld.org/mine_vocabulary:hasPublication	8310106	234374
http://mo-ld.org/resource/flymine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	8126644	64067
http://mo-ld.org/resource/flymine_MicroArrayResult	http://mo-ld.org/mine_vocabulary:hasMicroArrayResult	8012685	1913413
http://mo-ld.org/resource/flymine_OrthologueEvidence	http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	6077196	4
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasHomologue	6077196	6077196
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasLocation	5782444	2891222
http://mo-ld.org/mine_type:PrimaryIdentifier	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	5777288	5710466
http://mo-ld.org/resource/flymine_Organism	http://mo-ld.org/mine_vocabulary:hasOrganism	5765900	20
http://mo-ld.org/resource/flymine_Gene	http://mo-ld.org/mine_vocabulary:hasBioEntity	4883736	566638
http://mo-ld.org/resource/flymine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	4672178	2336101
http://mo-ld.org/mine_type:Identifier	http://mo-ld.org/mine_vocabulary:hasIdentifier	4623333	724850
http://mo-ld.org/resource/flymine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasSOTerm	4540239	28
http://mo-ld.org/resource/flymine_SOTerm	http://mo-ld.org/mine_vocabulary:hasSOTerm	4540239	28
http://mo-ld.org/mine_type:Residues	http://mo-ld.org/mine_vocabulary:hasResidues	4487249	3334259
http://mo-ld.org/mine_type:Value	http://mo-ld.org/mine_vocabulary:hasValue	4463649	2598062
http://mo-ld.org/resource/flymine_DataSource	http://mo-ld.org/mine_vocabulary:hasDataSource	4328022	55
http://mo-ld.org/resource/flymine_CrossReference	http://mo-ld.org/mine_vocabulary:hasCrossReference	4268929	4268929
http://mo-ld.org/resource/flymine_Sequence	http://mo-ld.org/mine_vocabulary:hasSequence	4237544	4234572
http://mo-ld.org/resource/flymine_Protein	http://mo-ld.org/mine_vocabulary:hasBioEntity	4235437	504785
http://mo-ld.org/mine_type:End	http://mo-ld.org/mine_vocabulary:hasEnd	4220097	1807323
http://mo-ld.org/resource/flymine_MeshTerm	http://mo-ld.org/mine_vocabulary:hasMeshTerm	3529040	18653
http://mo-ld.org/mine_type:SecondaryIdentifier	http://mo-ld.org/mine_vocabulary:hasSecondaryIdentifier	3482626	2861273
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasTranscript	3463983	266038
http://mo-ld.org/resource/flymine_Transcript	http://mo-ld.org/mine_vocabulary:hasTranscript	3463983	266038
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasTranscript	3463983	266038
http://mo-ld.org/resource/flymine_MRNA	http://mo-ld.org/mine_vocabulary:hasTranscript	3363625	246306
http://mo-ld.org/mine_type:Start	http://mo-ld.org/mine_vocabulary:hasStart	3107701	1802691
http://mo-ld.org/resource/flymine_Synonym	http://mo-ld.org/mine_vocabulary:hasSynonym	3055132	3055132
http://mo-ld.org/resource/flymine_Chromosome	http://mo-ld.org/mine_vocabulary:hasBioEntity	3012703	117249
http://mo-ld.org/mine_type:Strand	http://mo-ld.org/mine_vocabulary:hasStrand	2891183	3
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSample	2727133	159
http://mo-ld.org/resource/flymine_Sample	http://mo-ld.org/mine_vocabulary:hasSample	2727133	159
