URI	Count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	75854309
http://www.w3.org/1999/02/22-rdf-syntax-ns#value	24550647
http://mo-ld.org/mine_vocabulary:hasDataSet	21767470
http://mo-ld.org/mine_vocabulary:hasBioEntity	21008922
http://mo-ld.org/mine_vocabulary:hasGene	19477821
http://mo-ld.org/mine_vocabulary:hasType	10240269
http://mo-ld.org/mine_vocabulary:hasLength	8731466
http://mo-ld.org/mine_vocabulary:hasPublication	8310106
http://mo-ld.org/mine_vocabulary:hasOntologyTerm	8126644
http://mo-ld.org/mine_vocabulary:hasMicroArrayResult	8012685
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	6077196
http://mo-ld.org/mine_vocabulary:hasHomologue	6077196
http://mo-ld.org/mine_vocabulary:hasLocation	5782444
http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	5777288
http://mo-ld.org/mine_vocabulary:hasOrganism	5765900
http://mo-ld.org/mine_vocabulary:hasOntologyRelation	4672178
http://mo-ld.org/mine_vocabulary:hasIdentifier	4623333
http://mo-ld.org/mine_vocabulary:hasSOTerm	4540239
http://mo-ld.org/mine_vocabulary:hasResidues	4487249
http://mo-ld.org/mine_vocabulary:hasValue	4463649
http://mo-ld.org/mine_vocabulary:hasDataSource	4328022
http://mo-ld.org/mine_vocabulary:hasCrossReference	4268929
http://mo-ld.org/mine_vocabulary:hasSequence	4237544
http://mo-ld.org/mine_vocabulary:hasEnd	4220097
http://mo-ld.org/mine_vocabulary:hasMeshTerm	3529040
http://mo-ld.org/mine_vocabulary:hasSecondaryIdentifier	3482626
http://mo-ld.org/mine_vocabulary:hasTranscript	3463983
http://mo-ld.org/mine_vocabulary:hasStart	3107701
http://mo-ld.org/mine_vocabulary:hasSynonym	3055132
http://mo-ld.org/mine_vocabulary:hasStrand	2891183
http://mo-ld.org/mine_vocabulary:hasSample	2727133
http://mo-ld.org/mine_vocabulary:hasChromosome	2641632
http://www.w3.org/2000/01/rdf-schema#label	2338770
http://mo-ld.org/mine_vocabulary:hasDirect	2336101
http://mo-ld.org/mine_vocabulary:hasRedundant	2336101
http://mo-ld.org/mine_vocabulary:hasRelationship	2336101
http://mo-ld.org/mine_vocabulary:hasExon	2194717
http://mo-ld.org/mine_vocabulary:hasProtein	2037201
http://mo-ld.org/mine_vocabulary:hasBootstrapScore	1934876
http://mo-ld.org/mine_vocabulary:hasMicroArrayExperiment	1874566
http://mo-ld.org/mine_vocabulary:hasIntron	1760688
http://mo-ld.org/mine_vocabulary:hasDescription	1728134
http://mo-ld.org/mine_vocabulary:hasInteractionDetail	1702927
http://mo-ld.org/mine_vocabulary:hasRNASeqResult	1690488
http://mo-ld.org/mine_vocabulary:hasStage	1690488
http://mo-ld.org/mine_vocabulary:hasExpressionLevel	1690488
http://mo-ld.org/mine_vocabulary:hasExpressionScore	1690488
http://mo-ld.org/mine_vocabulary:hasSymbol	1485327
http://mo-ld.org/mine_vocabulary:hasMd5checksum	1459518
http://mo-ld.org/mine_vocabulary:hasIsControl	1447239
http://mo-ld.org/mine_vocabulary:hasMicroArrayAssay	1407135
http://mo-ld.org/mine_vocabulary:hasInteraction	1402204
http://mo-ld.org/mine_vocabulary:hasAuthor	1389593
http://mo-ld.org/mine_vocabulary:hasScale	1367635
http://mo-ld.org/mine_vocabulary:hasReporter	1333344
http://mo-ld.org/mine_vocabulary:hasUniProtFeature	1113031
http://mo-ld.org/mine_vocabulary:hasBegin	1112463
http://www.w3.org/2004/02/skos/core#exactMatch	1111354
http://mo-ld.org/mine_vocabulary:hasRelationshipType	851437
http://mo-ld.org/mine_vocabulary:hasInteractionExperiment	851437
http://mo-ld.org/mine_vocabulary:hasRole1	851437
http://mo-ld.org/mine_vocabulary:hasRole2	851437
http://mo-ld.org/mine_vocabulary:hasAllele	726423
http://mo-ld.org/mine_vocabulary:hasComment	697291
http://mo-ld.org/mine_vocabulary:hasCDNAClone	655396
http://mo-ld.org/mine_vocabulary:hasProbeSet	653335
http://mo-ld.org/mine_vocabulary:hasRNAiResult	584669
http://mo-ld.org/mine_vocabulary:hasMRNASignal	506763
http://mo-ld.org/mine_vocabulary:hasMRNASignalSEM	506763
http://mo-ld.org/mine_vocabulary:hasPresentCall	506763
http://mo-ld.org/mine_vocabulary:hasTissue	506763
http://mo-ld.org/mine_vocabulary:hasFlyAtlasResult	506763
http://mo-ld.org/mine_vocabulary:hasCDS	492566
http://mo-ld.org/mine_vocabulary:hasAffyCall	487994
http://mo-ld.org/mine_vocabulary:hasEnrichment	487994
http://mo-ld.org/mine_vocabulary:hasProteinDomainRegion	432958
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	388904
http://mo-ld.org/mine_vocabulary:hasPrimaryAccession	380302
http://mo-ld.org/mine_vocabulary:hasIsFragment	375028
http://mo-ld.org/mine_vocabulary:hasUniprotName	375028
http://mo-ld.org/mine_vocabulary:hasIsUniprotCanonical	375028
http://mo-ld.org/mine_vocabulary:hasUniprotAccession	375028
http://mo-ld.org/mine_vocabulary:hasScore	367592
http://mo-ld.org/mine_vocabulary:hasMolecularWeight	341219
http://mo-ld.org/mine_vocabulary:hasPhenotype	328822
http://mo-ld.org/mine_vocabulary:hasRNAiScreen	328822
http://mo-ld.org/mine_vocabulary:hasReagentId	327211
http://mo-ld.org/mine_vocabulary:hasIntergenicRegion	318638
http://mo-ld.org/mine_vocabulary:hasUTR	298678
http://mo-ld.org/mine_vocabulary:hasAnnotationType	260039
http://mo-ld.org/mine_vocabulary:hasPhenotypeAnnotation	260039
http://mo-ld.org/mine_vocabulary:hasPubMedId	234374
http://mo-ld.org/mine_vocabulary:hasJournal	234345
http://mo-ld.org/mine_vocabulary:hasTitle	234345
