Subject-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/flymine_BioEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	18262951	5801389
http://mo-ld.org/resource/flymine_SequenceFeature	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	16540680	5019429
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasGene	12154234	6077196
http://mo-ld.org/resource/flymine_DataSet	http://mo-ld.org/mine_vocabulary:hasBioEntity	6863788	66
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasDataSet	6863788	5710631
http://mo-ld.org/resource/flymine_Gene	http://mo-ld.org/mine_vocabulary:hasHomologue	6077196	275331
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasHomologue	6077196	275331
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	6077196	6077196
http://mo-ld.org/resource/flymine_Homologue	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	6077196	6077196
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasHomologue	6077196	275331
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasType	6077196	6077196
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasDataSet	6077196	6077196
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasDataSet	5996577	5018843
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasLocation	5782444	2867249
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasBioEntity	5782444	2891222
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	5777288	5777288
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasOrganism	5765900	5765900
http://mo-ld.org/mine_type:PrimaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	5710466	5710466
http://mo-ld.org/mine_type:PrimaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	5710466	5710466
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasLocation	5537401	2650629
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasOrganism	5019429	5019429
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	5000814	5000814
http://mo-ld.org/resource/flymine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	4672178	62778
http://mo-ld.org/resource/flymine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	4672178	2336101
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSOTerm	4540239	4540239
http://mo-ld.org/resource/flymine_Sequence	http://mo-ld.org/mine_vocabulary:hasResidues	4487249	4487249
http://mo-ld.org/resource/flymine_Sequence	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4487249	4487249
http://mo-ld.org/resource/flymine_Sequence	http://mo-ld.org/mine_vocabulary:hasLength	4487249	4487249
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasSOTerm	4381888	4381888
http://mo-ld.org/resource/flymine_CrossReference	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4268929	4268929
http://mo-ld.org/resource/flymine_CrossReference	http://mo-ld.org/mine_vocabulary:hasDataSource	4268929	4268929
http://mo-ld.org/resource/flymine_CrossReference	http://mo-ld.org/mine_vocabulary:hasIdentifier	4268929	4268929
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasLength	4244217	4244217
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSequence	4237544	4237544
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasLength	3744433	3744433
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasSequence	3737760	3737760
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	3724477	3557637
http://mo-ld.org/resource/flymine_Publication	http://mo-ld.org/mine_vocabulary:hasMeshTerm	3529040	231768
http://mo-ld.org/resource/flymine_MeshTerm	http://mo-ld.org/mine_vocabulary:hasPublication	3529040	18653
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSecondaryIdentifier	3482626	3482626
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasTranscript	3463983	2323152
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasMicroArrayResult	3398293	47714
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasMicroArrayResult	3398293	47714
http://mo-ld.org/resource/flymine_Homologue	http://mo-ld.org/mine_vocabulary:hasCrossReference	3352898	3352898
http://mo-ld.org/mine_type:Residues	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3334259	3334259
http://mo-ld.org/mine_type:Residues	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	3334259	3334259
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasTranscript	3217679	2105428
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	3197703	3038941
http://mo-ld.org/resource/flymine_Oligo	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3153008	788252
http://mo-ld.org/resource/flymine_EST	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3095256	773814
http://mo-ld.org/resource/flymine_Synonym	http://mo-ld.org/mine_vocabulary:hasBioEntity	3055132	3055132
http://mo-ld.org/resource/flymine_Synonym	http://mo-ld.org/mine_vocabulary:hasDataSet	3055132	3055132
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSynonym	3055132	1020582
http://mo-ld.org/resource/flymine_Synonym	http://mo-ld.org/mine_vocabulary:hasValue	3055132	3055132
http://mo-ld.org/resource/flymine_Synonym	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3055132	3055132
http://mo-ld.org/resource/flymine_Publication	http://mo-ld.org/mine_vocabulary:hasBioEntity	3021400	177064
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasPublication	3021400	1219431
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasSecondaryIdentifier	2893102	2893102
http://mo-ld.org/resource/flymine_Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2891222	2891222
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasEnd	2891222	2891222
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasStart	2891222	2891222
http://mo-ld.org/resource/flymine_Chromosome	http://mo-ld.org/mine_vocabulary:hasLocation	2891183	6737
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasStrand	2891183	2891183
http://mo-ld.org/mine_type:SecondaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2861273	2861273
http://mo-ld.org/mine_type:SecondaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	2861273	2861273
http://mo-ld.org/resource/flymine_MicroArrayResult	http://mo-ld.org/mine_vocabulary:hasSample	2726816	1367635
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasChromosome	2641632	2641632
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasChromosome	2641632	2641632
http://mo-ld.org/mine_type:Value	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	2598062	2598062
http://mo-ld.org/mine_type:Value	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2598062	2598062
http://mo-ld.org/resource/flymine_Exon	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2497806	832602
http://mo-ld.org/resource/flymine_Location	http://mo-ld.org/mine_vocabulary:hasDataSet	2495599	2495599
http://mo-ld.org/resource/flymine_MicroArrayResult	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2459191	1913413
http://mo-ld.org/resource/flymine_AnatomyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2377554	16641
http://mo-ld.org/resource/flymine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasDirect	2336101	2336101
http://mo-ld.org/resource/flymine_OntologyRelation	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2336101	2336101
http://mo-ld.org/resource/flymine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRelationship	2336101	2336101
http://mo-ld.org/resource/flymine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRedundant	2336101	2336101
http://mo-ld.org/resource/flymine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2228424	42045
http://mo-ld.org/resource/flymine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasExon	2194717	454108
http://mo-ld.org/resource/flymine_BioEntity	http://mo-ld.org/mine_vocabulary:hasExon	2194717	454108
http://mo-ld.org/resource/flymine_CDNAClone	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2169465	723155
