Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
mold_res:\nflymine_Homologue	12154234	6077196	mine_voc:\nhasGene	mold_res:\nflymine_BioEntity	12154234	275331
http://mo-ld.org/resource/flymine_Homologue	12154234	6077196	mine_voc:\nhasGene	mold_res:\nflymine_SequenceFeature	12154234	275331
http://mo-ld.org/resource/flymine_Homologue	12154234	6077196	mine_voc:\nhasGene	mold_res:\nflymine_Gene	12154234	275331
mold_res:\nflymine_BioEntity	6863788	5710631	mine_voc:\nhasDataSet	mold_res:\nflymine_DataSet	6863788	66
http://mo-ld.org/resource/flymine_DataSet	6863788	66	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_BioEntity	6863788	5710631
mold_res:\nflymine_Homologue	6077196	6077196	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	6077196	4
http://mo-ld.org/resource/flymine_Homologue	6077196	6077196	mine_voc:\nhasType	mine_type:\nType	6077196	5
http://mo-ld.org/resource/flymine_Homologue	6077196	6077196	mine_voc:\nhasOrthologueEvidence	mold_res:\nflymine_OrthologueEvidence	6077196	4
http://mo-ld.org/resource/flymine_BioEntity	6077196	275331	mine_voc:\nhasHomologue	http://mo-ld.org/resource/flymine_Homologue	6077196	6077196
mold_res:\nflymine_SequenceFeature	6077196	275331	mine_voc:\nhasHomologue	http://mo-ld.org/resource/flymine_Homologue	6077196	6077196
mold_res:\nflymine_Gene	6077196	275331	mine_voc:\nhasHomologue	http://mo-ld.org/resource/flymine_Homologue	6077196	6077196
mold_res:\nflymine_SequenceFeature	5996577	5018843	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	5996577	57
http://mo-ld.org/resource/flymine_DataSet	5996577	57	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_SequenceFeature	5996577	5018843
mold_res:\nflymine_BioEntity	5782444	2867249	mine_voc:\nhasLocation	mold_res:\nflymine_Location	5782444	2891222
http://mo-ld.org/resource/flymine_Location	5782444	2891222	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_BioEntity	5782444	2867249
http://mo-ld.org/resource/flymine_BioEntity	5777288	5777288	mine_voc:\nhasPrimaryIdentifier	mine_type:\nPrimaryIdentifier	5777288	5710466
http://mo-ld.org/resource/flymine_BioEntity	5765900	5765900	mine_voc:\nhasOrganism	mold_res:\nflymine_Organism	5765900	20
mold_res:\nflymine_SequenceFeature	5537401	2650629	mine_voc:\nhasLocation	http://mo-ld.org/resource/flymine_Location	5537401	2891222
http://mo-ld.org/resource/flymine_Location	5537401	2891222	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_SequenceFeature	5537401	2650629
http://mo-ld.org/resource/flymine_SequenceFeature	5019429	5019429	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	5019429	19
http://mo-ld.org/resource/flymine_SequenceFeature	5000814	5000814	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	5000814	4933992
mold_res:\nflymine_OntologyRelation	4672178	2336101	mine_voc:\nhasOntologyTerm	mold_res:\nflymine_OntologyTerm	4672178	62778
http://mo-ld.org/resource/flymine_OntologyTerm	4672178	62778	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/flymine_OntologyRelation	4672178	2336101
http://mo-ld.org/resource/flymine_BioEntity	4540239	4540239	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	4540239	28
http://mo-ld.org/resource/flymine_BioEntity	4540239	4540239	mine_voc:\nhasSOTerm	mold_res:\nflymine_SOTerm	4540239	28
mold_res:\nflymine_Sequence	4487249	4487249	mine_voc:\nhasLength	mine_type:\nLength	4487249	42865
http://mo-ld.org/resource/flymine_Sequence	4487249	4487249	mine_voc:\nhasResidues	mine_type:\nResidues	4487249	3334259
http://mo-ld.org/resource/flymine_SequenceFeature	4381888	4381888	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	4381888	28
http://mo-ld.org/resource/flymine_SequenceFeature	4381888	4381888	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_SOTerm	4381888	28
mold_res:\nflymine_CrossReference	4268929	4268929	mine_voc:\nhasDataSource	mold_res:\nflymine_DataSource	4268929	24
http://mo-ld.org/resource/flymine_CrossReference	4268929	4268929	mine_voc:\nhasIdentifier	mine_type:\nIdentifier	4268929	636359
http://mo-ld.org/resource/flymine_BioEntity	4244217	4244217	mine_voc:\nhasLength	mine_type:\nLength	4244217	44487
