URI	Count	Distinct_count
http://mo-ld.org/resource/flymine_Homologue	6077196	6077196
http://mo-ld.org/resource/flymine_BioEntity	5801389	5801389
http://mo-ld.org/mine_type:PrimaryIdentifier	5710466	5710466
http://mo-ld.org/resource/flymine_SequenceFeature	5019429	5019429
http://mo-ld.org/resource/flymine_Sequence	4487249	4487249
http://mo-ld.org/resource/flymine_CrossReference	4268929	4268929
http://mo-ld.org/mine_type:Residues	3334259	3334259
http://mo-ld.org/resource/flymine_Synonym	3055132	3055132
http://mo-ld.org/resource/flymine_Location	2891222	2891222
http://mo-ld.org/mine_type:SecondaryIdentifier	2861273	2861273
http://mo-ld.org/mine_type:Value	2598062	2598062
http://mo-ld.org/resource/flymine_OntologyRelation	2336101	2336101
http://mo-ld.org/resource/flymine_MicroArrayResult	1913413	1913413
http://mo-ld.org/mine_type:End	1807323	1807323
http://mo-ld.org/mine_type:Start	1802691	1802691
http://mo-ld.org/resource/flymine_RNASeqResult	1690488	1690488
http://mo-ld.org/mine_type:Symbol	1427922	1427922
http://mo-ld.org/resource/flymine_UniProtFeature	1113031	1113031
http://mo-ld.org/mine_type:Md5checksum	998561	998561
http://mo-ld.org/resource/flymine_InteractionDetail	851437	851437
http://mo-ld.org/resource/flymine_Exon	832602	832602
http://mo-ld.org/resource/flymine_Oligo	788252	788252
http://mo-ld.org/resource/flymine_EST	773814	773814
http://mo-ld.org/mine_type:Identifier	724850	724850
http://mo-ld.org/resource/flymine_CDNAClone	723155	723155
http://mo-ld.org/resource/flymine_Intron	661281	661281
http://mo-ld.org/resource/flymine_Gene	566638	566638
http://mo-ld.org/resource/flymine_Author	559141	559141
http://mo-ld.org/resource/flymine_Interaction	550767	550767
http://mo-ld.org/resource/flymine_Comment	520014	520014
http://mo-ld.org/resource/flymine_FlyAtlasResult	506763	506763
http://mo-ld.org/resource/flymine_Protein	504785	504785
http://mo-ld.org/resource/flymine_Transcript	459036	459036
http://mo-ld.org/resource/flymine_MRNA	437732	437732
http://mo-ld.org/mine_type:PrimaryAccession	380302	380302
http://mo-ld.org/mine_type:Description	379330	379330
http://mo-ld.org/mine_type:UniprotAccession	341219	341219
http://mo-ld.org/mine_type:UniprotName	341219	341219
http://mo-ld.org/resource/flymine_RNAiResult	328822	328822
http://mo-ld.org/resource/flymine_PhenotypeAnnotation	260039	260039
http://mo-ld.org/resource/flymine_CDS	246284	246284
http://mo-ld.org/mine_type:PubMedId	234374	234374
http://mo-ld.org/resource/flymine_Publication	234374	234374
http://mo-ld.org/mine_type:Title	233915	233915
http://mo-ld.org/mine_type:AbstractText	217660	217660
http://mo-ld.org/resource/flymine_ProteinDomainRegion	216479	216479
http://mo-ld.org/resource/flymine_GOAnnotation	194452	194452
http://mo-ld.org/resource/flymine_OntologyAnnotation	194452	194452
http://mo-ld.org/resource/flymine_SequenceCollection	191330	191330
http://mo-ld.org/resource/flymine_TransposableElementInsertionSite	168433	168433
http://mo-ld.org/resource/flymine_IntergenicRegion	165189	165189
http://mo-ld.org/resource/flymine_Allele	158351	158351
http://mo-ld.org/mine_type:FirstAuthor	152330	152330
http://mo-ld.org/resource/flymine_OntologyTermSynonym	152225	152225
http://mo-ld.org/resource/flymine_UTR	149339	149339
http://mo-ld.org/mine_type:GenbankIdentifier	146914	146914
http://mo-ld.org/resource/flymine_GOEvidence	129938	129938
http://mo-ld.org/mine_type:Doi	127031	127031
http://mo-ld.org/mine_type:MolecularWeight	119495	119495
http://mo-ld.org/resource/flymine_Chromosome	117249	117249
http://mo-ld.org/mine_type:ReagentId	116719	116719
http://mo-ld.org/mine_type:Url	109355	109355
http://mo-ld.org/resource/flymine_Image	109290	109290
http://mo-ld.org/resource/flymine_FivePrimeUTR	96924	96924
http://mo-ld.org/resource/flymine_Stock	90013	90013
http://mo-ld.org/mine_type:Pages	87805	87805
http://mo-ld.org/resource/flymine_Reporter	74880	74880
http://mo-ld.org/resource/flymine_OntologyTerm	72686	72686
http://mo-ld.org/mine_type:Score	65705	65705
http://mo-ld.org/resource/flymine_DatabaseReference	59014	59014
http://mo-ld.org/resource/flymine_ThreePrimeUTR	52415	52415
http://mo-ld.org/mine_type:Length	44502	44502
http://mo-ld.org/resource/flymine_GOTerm	42046	42046
http://mo-ld.org/resource/flymine_AGambiaeLifeCycle	39015	39015
http://mo-ld.org/mine_type:StandardError	38982	38982
http://mo-ld.org/resource/flymine_MiRNATarget	38772	38772
http://mo-ld.org/resource/flymine_MRNAExpressionResult	38521	38521
http://mo-ld.org/mine_type:MRNASignal	37496	37496
http://mo-ld.org/resource/flymine_ProbeSet	36850	36850
http://mo-ld.org/resource/flymine_ChromosomeStructureVariation	32979	32979
http://mo-ld.org/resource/flymine_ProteinDomain	28599	28599
http://mo-ld.org/mine_type:ShortName	28482	28482
http://mo-ld.org/mine_type:Pvalue	22888	22888
http://mo-ld.org/resource/flymine_NcRNA	21075	21075
http://mo-ld.org/resource/flymine_ChromosomalDeletion	20937	20937
http://mo-ld.org/resource/flymine_MeshTerm	18653	18653
http://mo-ld.org/resource/flymine_InteractionExperiment	18436	18436
http://mo-ld.org/resource/flymine_AnatomyTerm	16723	16723
http://mo-ld.org/resource/flymine_RegulatoryRegion	15883	15883
http://mo-ld.org/resource/flymine_MicroarrayOligo	14438	14438
http://mo-ld.org/mine_type:WithText	12097	12097
http://mo-ld.org/resource/flymine_CRM	11754	11754
http://mo-ld.org/mine_type:MRNASignalSEM	11225	11225
http://mo-ld.org/mine_type:CytoLocation	8502	8502
http://mo-ld.org/resource/flymine_TransposableElement	6153	6153
http://mo-ld.org/resource/flymine_ChromosomeBand	5990	5990
http://mo-ld.org/mine_type:Begin	5791	5791
