Object-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/humanmine_Publication	http://mo-ld.org/mine_vocabulary:hasPublication	18516712	751022
http://mo-ld.org/resource/humanmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasBioEntity	17228321	3226386
http://mo-ld.org/resource/humanmine_DataSet	http://mo-ld.org/mine_vocabulary:hasDataSet	16173521	56
http://mo-ld.org/resource/humanmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasBioEntity	14578611	2963736
http://mo-ld.org/resource/humanmine_Region	http://mo-ld.org/mine_vocabulary:hasBioEntity	13555720	1940845
http://mo-ld.org/resource/humanmine_Region	http://mo-ld.org/mine_vocabulary:hasGene	10611578	139831
http://mo-ld.org/resource/humanmine_Gene	http://mo-ld.org/mine_vocabulary:hasGene	10611578	139831
http://mo-ld.org/resource/humanmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	10611578	139831
http://mo-ld.org/resource/humanmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	10611578	139831
http://mo-ld.org/resource/humanmine_MeshTerm	http://mo-ld.org/mine_vocabulary:hasMeshTerm	10000000	22529
http://mo-ld.org/mine_type:Type	http://mo-ld.org/mine_vocabulary:hasType	9445174	683
http://mo-ld.org/resource/humanmine_Location	http://mo-ld.org/mine_vocabulary:hasLocation	7725643	3862597
http://mo-ld.org/resource/humanmine_AtlasExpression	http://mo-ld.org/mine_vocabulary:hasAtlasExpression	6850840	6850840
http://mo-ld.org/mine_type:Expression	http://mo-ld.org/mine_vocabulary:hasExpression	6850840	1096
http://mo-ld.org/mine_type:Condition	http://mo-ld.org/mine_vocabulary:hasCondition	6850840	362
http://mo-ld.org/mine_type:PValue	http://mo-ld.org/mine_vocabulary:hasPValue	6276060	4430745
http://mo-ld.org/mine_type:TStatistic	http://mo-ld.org/mine_vocabulary:hasTStatistic	6265080	1420
http://mo-ld.org/mine_type:Length	http://mo-ld.org/mine_vocabulary:hasLength	5961415	109547
http://mo-ld.org/resource/humanmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	5445470	67114
http://mo-ld.org/resource/humanmine_Author	http://mo-ld.org/mine_vocabulary:hasAuthor	5255662	1571000
http://mo-ld.org/mine_type:End	http://mo-ld.org/mine_vocabulary:hasEnd	5091572	713778
http://mo-ld.org/resource/humanmine_Gene	http://mo-ld.org/mine_vocabulary:hasBioEntity	4936514	207934
http://mo-ld.org/mine_type:Start	http://mo-ld.org/mine_vocabulary:hasStart	4415875	711823
http://mo-ld.org/resource/humanmine_Chromosome	http://mo-ld.org/mine_vocabulary:hasBioEntity	3861705	25
http://mo-ld.org/mine_type:Strand	http://mo-ld.org/mine_vocabulary:hasStrand	3861656	2
http://mo-ld.org/resource/humanmine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	3254434	42048
http://mo-ld.org/resource/humanmine_Organism	http://mo-ld.org/mine_vocabulary:hasOrganism	3247959	9
http://mo-ld.org/mine_type:PrimaryIdentifier	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	3203632	2696035
http://mo-ld.org/mine_type:Residues	http://mo-ld.org/mine_vocabulary:hasResidues	3005487	604806
http://mo-ld.org/resource/humanmine_Exon	http://mo-ld.org/mine_vocabulary:hasBioEntity	2968852	1484438
http://mo-ld.org/resource/humanmine_Region	http://mo-ld.org/mine_vocabulary:hasChromosome	2797554	24
