URI	Count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	55032008
http://mo-ld.org/mine_vocabulary:hasPublication	18516712
http://mo-ld.org/mine_vocabulary:hasBioEntity	17228321
http://mo-ld.org/mine_vocabulary:hasDataSet	16173521
http://www.w3.org/1999/02/22-rdf-syntax-ns#value	15744991
http://mo-ld.org/mine_vocabulary:hasGene	10611578
http://mo-ld.org/mine_vocabulary:hasMeshTerm	10000000
http://mo-ld.org/mine_vocabulary:hasType	9445174
http://mo-ld.org/mine_vocabulary:hasLocation	7725643
http://mo-ld.org/mine_vocabulary:hasCondition	6850840
http://mo-ld.org/mine_vocabulary:hasAtlasExpression	6850840
http://mo-ld.org/mine_vocabulary:hasExpression	6850840
http://mo-ld.org/mine_vocabulary:hasPValue	6276060
http://mo-ld.org/mine_vocabulary:hasTStatistic	6265080
http://mo-ld.org/mine_vocabulary:hasLength	5961415
http://mo-ld.org/mine_vocabulary:hasOntologyTerm	5445470
http://mo-ld.org/mine_vocabulary:hasAuthor	5255662
http://mo-ld.org/mine_vocabulary:hasEnd	5091572
http://www.w3.org/2000/01/rdf-schema#label	4690548
http://mo-ld.org/mine_vocabulary:hasStart	4415875
http://mo-ld.org/mine_vocabulary:hasStrand	3861656
http://mo-ld.org/mine_vocabulary:hasOrganism	3247959
http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	3203632
http://mo-ld.org/mine_vocabulary:hasResidues	3005487
http://mo-ld.org/mine_vocabulary:hasChromosome	2797554
http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2666056
http://mo-ld.org/mine_vocabulary:hasProteinAtlasExpression	2295624
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	2050220
http://mo-ld.org/mine_vocabulary:hasSOTerm	2003978
http://mo-ld.org/mine_vocabulary:hasSequence	1941841
http://mo-ld.org/mine_vocabulary:hasIdentifier	1909257
http://mo-ld.org/mine_vocabulary:hasInteractionDetail	1635422
http://mo-ld.org/mine_vocabulary:hasExon	1602324
http://mo-ld.org/mine_vocabulary:hasProtein	1564635
http://mo-ld.org/mine_vocabulary:hasTranscript	1487773
http://mo-ld.org/mine_vocabulary:hasDirect	1333028
http://mo-ld.org/mine_vocabulary:hasRedundant	1333028
