Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
mold_res:\nhumanmine_Publication	10000000	616701	mine_voc:\nhasMeshTerm	mold_res:\nhumanmine_MeshTerm	10000000	22529
http://mo-ld.org/resource/humanmine_MeshTerm	10000000	2993	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	10000000	745709
mold_res:\nhumanmine_BioEntity	7724922	2797833	mine_voc:\nhasLocation	mold_res:\nhumanmine_Location	7724922	3862597
http://mo-ld.org/resource/humanmine_Location	7724922	3862597	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_BioEntity	7724922	2797833
mold_res:\nhumanmine_SequenceFeature	7723534	2797579	mine_voc:\nhasLocation	http://mo-ld.org/resource/humanmine_Location	7723534	3861878
http://mo-ld.org/resource/humanmine_Location	7723534	3861878	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_SequenceFeature	7723534	2797579
mold_res:\nhumanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasDataSet	mold_res:\nhumanmine_DataSet	6850840	2
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasType	mine_type:\nType	6850840	3
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasCondition	mine_type:\nCondition	6850840	362
http://mo-ld.org/resource/humanmine_BioEntity	6850840	36532	mine_voc:\nhasAtlasExpression	http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840
mold_res:\nhumanmine_Region	6850840	36532	mine_voc:\nhasAtlasExpression	http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840
mold_res:\nhumanmine_Gene	6850840	36532	mine_voc:\nhasAtlasExpression	http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840
http://mo-ld.org/resource/humanmine_SequenceFeature	6850840	36532	mine_voc:\nhasAtlasExpression	http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_BioEntity	6850840	36532
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Region	6850840	36532
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Gene	6850840	36532
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_SequenceFeature	6850840	36532
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840	mine_voc:\nhasExpression	mine_type:\nExpression	6850840	1096
mold_res:\nhumanmine_Region	6709454	1783499	mine_voc:\nhasLocation	http://mo-ld.org/resource/humanmine_Location	6709454	3861878
http://mo-ld.org/resource/humanmine_Location	6709454	3861878	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Region	6709454	1783499
http://mo-ld.org/resource/humanmine_AtlasExpression	6265080	6265080	mine_voc:\nhasPValue	mine_type:\nPValue	6265080	4430182
http://mo-ld.org/resource/humanmine_AtlasExpression	6265080	6265080	mine_voc:\nhasTStatistic	mine_type:\nTStatistic	6265080	1420
mold_res:\nhumanmine_Author	5255662	1571000	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	5255662	749507
http://mo-ld.org/resource/humanmine_Publication	5255662	749507	mine_voc:\nhasAuthor	http://mo-ld.org/resource/humanmine_Author	5255662	1571000
http://mo-ld.org/resource/humanmine_Location	3862597	3862597	mine_voc:\nhasStart	mine_type:\nStart	3862597	703677
http://mo-ld.org/resource/humanmine_Location	3862597	3862597	mine_voc:\nhasEnd	mine_type:\nEnd	3862597	703931
mold_res:\nhumanmine_Chromosome	3861656	24	mine_voc:\nhasLocation	http://mo-ld.org/resource/humanmine_Location	3861656	3861656
http://mo-ld.org/resource/humanmine_Location	3861656	3861656	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Chromosome	3861656	24
http://mo-ld.org/resource/humanmine_Location	3861656	3861656	mine_voc:\nhasStrand	mine_type:\nStrand	3861656	2
http://mo-ld.org/resource/humanmine_BioEntity	3203632	3203632	mine_voc:\nhasPrimaryIdentifier	mine_type:\nPrimaryIdentifier	3203632	2696035
http://mo-ld.org/resource/humanmine_BioEntity	3194600	3194600	mine_voc:\nhasOrganism	mold_res:\nhumanmine_Organism	3194600	9
mold_res:\nhumanmine_Sequence	3005487	3005487	mine_voc:\nhasLength	mine_type:\nLength	3005487	67079
http://mo-ld.org/resource/humanmine_Sequence	3005487	3005487	mine_voc:\nhasResidues	mine_type:\nResidues	3005487	604806
http://mo-ld.org/resource/humanmine_SequenceFeature	2963736	2963736	mine_voc:\nhasOrganism	http://mo-ld.org/resource/humanmine_Organism	2963736	7
http://mo-ld.org/resource/humanmine_SequenceFeature	2963442	2963442	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	2963442	2455845
http://mo-ld.org/resource/humanmine_BioEntity	2955928	2955928	mine_voc:\nhasLength	mine_type:\nLength	2955928	109546
http://mo-ld.org/resource/humanmine_BioEntity	2951680	279209	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	2951680	715103
http://mo-ld.org/resource/humanmine_Publication	2912250	713929	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_BioEntity	2912250	239779
http://mo-ld.org/resource/humanmine_Location	2848517	2848517	mine_voc:\nhasDataSet	mold_res:\nhumanmine_DataSet	2848517	3
http://mo-ld.org/resource/humanmine_SequenceFeature	2797579	2797579	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	2797579	109545
http://mo-ld.org/resource/humanmine_BioEntity	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_BioEntity	2797554	24
http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_BioEntity	2797554	24
http://mo-ld.org/resource/humanmine_BioEntity	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Chromosome	2797554	24
http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Chromosome	2797554	24
http://mo-ld.org/resource/humanmine_BioEntity	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Region	2797554	24
