URI	Count	Distinct_count
http://mo-ld.org/resource/humanmine_AtlasExpression	6850840	6850840
http://mo-ld.org/mine_type:PValue	4430745	4430745
http://mo-ld.org/resource/humanmine_Location	3862597	3862597
http://mo-ld.org/resource/humanmine_BioEntity	3226386	3226386
http://mo-ld.org/resource/humanmine_Sequence	3005487	3005487
http://mo-ld.org/resource/humanmine_SequenceFeature	2963736	2963736
http://mo-ld.org/mine_type:PrimaryIdentifier	2696035	2696035
http://mo-ld.org/resource/humanmine_Region	1940845	1940845
http://mo-ld.org/resource/humanmine_Author	1571000	1571000
http://mo-ld.org/resource/humanmine_Exon	1484438	1484438
http://mo-ld.org/resource/humanmine_OntologyRelation	1333028	1333028
http://mo-ld.org/resource/humanmine_CrossReference	1241123	1241123
http://mo-ld.org/resource/humanmine_Synonym	1166126	1166126
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_OntologyAnnotation	1104413	1104413
http://mo-ld.org/resource/humanmine_GOAnnotation	1026010	1026010
http://mo-ld.org/resource/humanmine_GeneFlankingRegion	1014080	1014080
http://mo-ld.org/resource/humanmine_InteractionDetail	817491	817491
http://mo-ld.org/mine_type:PubMedId	751025	751025
http://mo-ld.org/resource/humanmine_Publication	751025	751025
http://mo-ld.org/mine_type:Title	749134	749134
http://mo-ld.org/mine_type:Value	736516	736516
http://mo-ld.org/mine_type:AbstractText	720625	720625
http://mo-ld.org/mine_type:End	713778	713778
http://mo-ld.org/mine_type:Start	711823	711823
http://mo-ld.org/resource/humanmine_UniProtFeature	675962	675962
http://mo-ld.org/resource/humanmine_GOEvidence	673177	673177
http://mo-ld.org/mine_type:Residues	604806	604806
http://mo-ld.org/mine_type:Identifier	573019	573019
http://mo-ld.org/resource/humanmine_ProteinDomainRegion	553278	553278
http://mo-ld.org/resource/humanmine_Homologue	547918	547918
http://mo-ld.org/mine_type:Doi	547372	547372
http://mo-ld.org/resource/humanmine_Interaction	460005	460005
http://mo-ld.org/mine_type:FirstAuthor	445513	445513
http://mo-ld.org/mine_type:Symbol	419230	419230
http://mo-ld.org/resource/humanmine_Comment	322763	322763
http://mo-ld.org/mine_type:Description	308477	308477
http://mo-ld.org/resource/humanmine_Gene	207934	207934
http://mo-ld.org/mine_type:SecondaryIdentifier	193291	193291
http://mo-ld.org/mine_type:Pages	182986	182986
http://mo-ld.org/mine_type:PrimaryAccession	179012	179012
http://mo-ld.org/resource/humanmine_Protein	179012	179012
http://mo-ld.org/mine_type:Md5checksum	156546	156546
http://mo-ld.org/resource/humanmine_OntologyTermSynonym	147359	147359
http://mo-ld.org/resource/humanmine_Transcript	136624	136624
http://mo-ld.org/mine_type:UniprotAccession	126801	126801
http://mo-ld.org/mine_type:UniprotName	126801	126801
http://mo-ld.org/mine_type:Length	109547	109547
http://mo-ld.org/resource/humanmine_CDS	94926	94926
http://mo-ld.org/resource/humanmine_MRNA	94334	94334
http://mo-ld.org/resource/humanmine_OntologyTerm	79241	79241
http://mo-ld.org/resource/humanmine_HPOEvidence	78616	78616
http://mo-ld.org/resource/humanmine_HPOAnnotation	78403	78403
http://mo-ld.org/mine_type:MolecularWeight	71002	71002
http://mo-ld.org/mine_type:WithText	55143	55143
http://mo-ld.org/resource/humanmine_Allele	54906	54906
http://mo-ld.org/resource/humanmine_SequenceCollection	54906	54906
http://mo-ld.org/resource/humanmine_Genotype	53359	53359
http://mo-ld.org/resource/humanmine_GOTerm	42048	42048
http://mo-ld.org/resource/humanmine_InteractionExperiment	41608	41608
http://mo-ld.org/mine_type:BriefDescription	36766	36766
http://mo-ld.org/resource/humanmine_NcRNA	29235	29235
http://mo-ld.org/resource/humanmine_ProteinDomain	28714	28714
http://mo-ld.org/mine_type:ShortName	28470	28470
http://mo-ld.org/resource/humanmine_DatabaseReference	24126	24126
http://mo-ld.org/resource/humanmine_MeshTerm	23982	23982
http://mo-ld.org/resource/humanmine_MammalianPhenotypeTerm	22286	22286
http://mo-ld.org/resource/humanmine_Match	16313	16313
http://mo-ld.org/mine_type:AnnotationExtension	13647	13647
http://mo-ld.org/mine_type:GeneticBackground	13174	13174
http://mo-ld.org/resource/humanmine_GWASResult	11001	11001
http://mo-ld.org/resource/humanmine_HPOTerm	10397	10397
http://mo-ld.org/resource/humanmine_SNP	8811	8811
http://mo-ld.org/mine_type:Score	8559	8559
http://mo-ld.org/resource/humanmine_Disease	7429	7429
http://mo-ld.org/mine_type:Source	7287	7287
http://mo-ld.org/mine_type:Begin	5526	5526
http://mo-ld.org/mine_type:Journal	5523	5523
http://mo-ld.org/mine_type:Issue	4704	4704
http://mo-ld.org/resource/humanmine_DiseaseSynonym	4627	4627
http://mo-ld.org/resource/humanmine_Pathway	3568	3568
http://mo-ld.org/mine_type:Volume	3239	3239
http://mo-ld.org/resource/humanmine_Component	2004	2004
http://mo-ld.org/resource/humanmine_SOTerm	1935	1935
http://mo-ld.org/resource/humanmine_PrimaryTranscript	1881	1881
http://mo-ld.org/mine_type:TStatistic	1420	1420
http://mo-ld.org/resource/humanmine_ECNumber	1410	1410
http://mo-ld.org/resource/humanmine_GWAS	1305	1305
http://mo-ld.org/mine_type:InitialSample	1281	1281
http://mo-ld.org/resource/humanmine_InteractionTerm	1213	1213
http://mo-ld.org/resource/humanmine_InteractionRegion	1160	1160
http://mo-ld.org/mine_type:Expression	1096	1096
http://mo-ld.org/mine_type:ReplicateSample	903	903
http://mo-ld.org/resource/humanmine_Interactor	900	900
http://mo-ld.org/mine_type:Phenotype	774	774
http://mo-ld.org/mine_type:RiskAlleleFreqInControls	685	685
http://mo-ld.org/mine_type:Type	683	683
http://mo-ld.org/mine_type:FrequencyModifier	456	456
http://mo-ld.org/resource/humanmine_TRNA	440	440
http://mo-ld.org/resource/humanmine_VGeneSegment	418	418
http://mo-ld.org/mine_type:Condition	362	362
http://mo-ld.org/resource/humanmine_Complex	349	349
http://mo-ld.org/mine_type:SystematicName	330	330
http://mo-ld.org/resource/humanmine_CDNAMatch	262	262
http://mo-ld.org/mine_type:Function	249	249
http://mo-ld.org/mine_type:Properties	165	165
http://mo-ld.org/mine_type:Year	105	105
http://mo-ld.org/resource/humanmine_JGeneSegment	105	105
http://mo-ld.org/resource/humanmine_DataSet	57	57
http://mo-ld.org/resource/humanmine_Tissue	54	54
http://mo-ld.org/mine_type:CellType	44	44
http://mo-ld.org/mine_type:AssociatedVariantRiskAllele	42	42
http://mo-ld.org/resource/humanmine_DataSource	41	41
http://mo-ld.org/mine_type:RelationshipType	34	34
http://mo-ld.org/resource/humanmine_DGeneSegment	32	32
http://mo-ld.org/resource/humanmine_CGeneSegment	28	28
http://mo-ld.org/resource/humanmine_Chromosome	25	25
http://mo-ld.org/mine_type:Url	24	24
http://mo-ld.org/mine_type:Qualifier	22	22
http://mo-ld.org/mine_type:Code	21	21
http://mo-ld.org/resource/humanmine_GOEvidenceCode	21	21
http://mo-ld.org/mine_type:Relationship	19	19
http://mo-ld.org/resource/humanmine_RRNA	19	19
http://mo-ld.org/mine_type:Month	17	17
http://mo-ld.org/resource/humanmine_SmallMolecule	17	17
http://mo-ld.org/mine_type:Role1	14	14
http://mo-ld.org/mine_type:Role2	14	14
http://mo-ld.org/resource/humanmine_TissueGroup	12	12
http://mo-ld.org/mine_type:Database	11	11
http://mo-ld.org/mine_type:TaxonId	9	9
http://mo-ld.org/mine_type:Stoichiometry	9	9
http://mo-ld.org/mine_type:AssignedBy	9	9
http://mo-ld.org/resource/humanmine_Organism	9	9
http://mo-ld.org/mine_type:Species	8	8
http://mo-ld.org/mine_type:CommonName	7	7
http://mo-ld.org/mine_type:Genus	7	7
http://mo-ld.org/resource/humanmine_Ontology	6	6
http://mo-ld.org/mine_type:EndStatus	5	5
http://mo-ld.org/mine_type:StartStatus	5	5
http://mo-ld.org/mine_type:Distance	5	5
http://mo-ld.org/mine_type:BiologicalRole	4	4
http://mo-ld.org/mine_type:Level	4	4
http://mo-ld.org/mine_type:Reliability	4	4
http://mo-ld.org/mine_type:Zygosity	3	3
http://mo-ld.org/mine_type:Strand	2	2
http://mo-ld.org/mine_type:Direct	2	2
http://mo-ld.org/mine_type:Redundant	2	2
http://mo-ld.org/mine_type:IsUniprotCanonical	2	2
http://mo-ld.org/mine_type:Direction	2	2
http://mo-ld.org/mine_type:IncludeGene	2	2
http://mo-ld.org/mine_type:Annotations	2	2
http://mo-ld.org/mine_type:ExpressionType	2	2
http://mo-ld.org/mine_type:ScoreType	1	1
http://mo-ld.org/mine_type:Abbreviation	1	1
http://mo-ld.org/mine_type:Version	1	1
http://mo-ld.org/mine_type:Obsolete	1	1
http://mo-ld.org/mine_type:IsFragment	1	1
http://mo-ld.org/resource/humanmine_LongTerminalRepeat	1	1
http://mo-ld.org/resource/humanmine_SnoRNA	1	1
http://mo-ld.org/resource/humanmine_RNA	1	1
http://mo-ld.org/resource/humanmine_DLoop	1	1
http://mo-ld.org/mine_type:ConfidenceText	1	1
http://mo-ld.org/resource/humanmine_OrthologueEvidence	1	1
http://mo-ld.org/resource/humanmine_OrthologueEvidenceCode	1	1
