Object-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/mousemine_Publication	http://mo-ld.org/mine_vocabulary:hasPublication	11490402	224436
http://mo-ld.org/resource/mousemine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasSequenceFeature	11274159	75369
http://mo-ld.org/resource/mousemine_DataSet	http://mo-ld.org/mine_vocabulary:hasDataSet	11214080	24
http://mo-ld.org/resource/mousemine_Gene	http://mo-ld.org/mine_vocabulary:hasSequenceFeature	11213209	58762
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasSequenceFeature	10353177	70370
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	9149965	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	9149965	4574983
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasBioEntity	8778668	1217695
http://mo-ld.org/resource/mousemine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	7725834	118984
http://mo-ld.org/resource/mousemine_Gene	http://mo-ld.org/mine_vocabulary:hasGene	7725834	118984
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	6608882	94348
http://mo-ld.org/resource/mousemine_GXDExpression	http://mo-ld.org/mine_vocabulary:hasGXDExpression	6037852	1509463
http://mo-ld.org/resource/mousemine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasBioEntity	5672587	481888
http://mo-ld.org/mine_type:Identifier	http://mo-ld.org/mine_vocabulary:hasIdentifier	5468853	2010922
http://mo-ld.org/resource/mousemine_DataSource	http://mo-ld.org/mine_vocabulary:hasDataSource	5396320	69
http://mo-ld.org/resource/mousemine_CrossReference	http://mo-ld.org/mine_vocabulary:hasCrossReference	5048266	5048266
http://mo-ld.org/mine_type:RelationshipTerm	http://mo-ld.org/mine_vocabulary:hasRelationshipTerm	4636316	19
http://mo-ld.org/mine_type:EvidenceCode	http://mo-ld.org/mine_vocabulary:hasEvidenceCode	4636316	6
http://mo-ld.org/resource/mousemine_Gene	http://mo-ld.org/mine_vocabulary:hasBioEntity	4626178	388065
http://mo-ld.org/mine_type:Validation	http://mo-ld.org/mine_vocabulary:hasValidation	4574909	2
http://mo-ld.org/mine_type:DataSource	http://mo-ld.org/mine_vocabulary:hasDataSource	4574909	4
http://mo-ld.org/mine_type:Algorithm	http://mo-ld.org/mine_vocabulary:hasAlgorithm	4574909	4
http://mo-ld.org/mine_type:OrganizerProductId	http://mo-ld.org/mine_vocabulary:hasOrganizerProductId	4574909	1100
http://mo-ld.org/mine_type:Score	http://mo-ld.org/mine_vocabulary:hasScore	4561304	234459
http://mo-ld.org/mine_type:ParticipantProductId	http://mo-ld.org/mine_vocabulary:hasParticipantProductId	4275929	40636
http://mo-ld.org/mine_type:Type	http://mo-ld.org/mine_vocabulary:hasType	4207337	18
http://mo-ld.org/resource/mousemine_SequenceCollection	http://mo-ld.org/mine_vocabulary:hasBioEntity	4083761	800787
http://mo-ld.org/resource/mousemine_Allele	http://mo-ld.org/mine_vocabulary:hasBioEntity	4071063	799658
http://mo-ld.org/resource/mousemine_Homologue	http://mo-ld.org/mine_vocabulary:hasHomologue	3862918	3862918
http://mo-ld.org/resource/mousemine_OntologyAnnotation	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	3839315	1067990
http://mo-ld.org/resource/mousemine_OrthologueEvidence	http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	3770137	2
http://mo-ld.org/resource/mousemine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	3747975	67707
http://mo-ld.org/resource/mousemine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2679822	1339911
http://mo-ld.org/resource/mousemine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	2576686	42338
http://mo-ld.org/resource/mousemine_Synonym	http://mo-ld.org/mine_vocabulary:hasSynonym	2201214	2201214
http://mo-ld.org/mine_type:Value	http://mo-ld.org/mine_vocabulary:hasValue	2201214	2051255
http://mo-ld.org/resource/mousemine_Strain	http://mo-ld.org/mine_vocabulary:hasStrain	1811019	16773
http://mo-ld.org/resource/mousemine_Genotype	http://mo-ld.org/mine_vocabulary:hasGenotype	1767742	65138
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasStrain	1750967	1912
http://mo-ld.org/resource/mousemine_SequenceCollection	http://mo-ld.org/mine_vocabulary:hasAllele	1665721	799651
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasAllele	1665721	799651
http://mo-ld.org/resource/mousemine_Allele	http://mo-ld.org/mine_vocabulary:hasAllele	1665721	799651
http://mo-ld.org/resource/mousemine_AnatomyTerm	http://mo-ld.org/mine_vocabulary:hasEMAPATerm	1509463	3561
http://mo-ld.org/mine_type:Age	http://mo-ld.org/mine_vocabulary:hasAge	1509463	533
http://mo-ld.org/mine_type:Emaps	http://mo-ld.org/mine_vocabulary:hasEmaps	1509463	11901
http://mo-ld.org/mine_type:AssayType	http://mo-ld.org/mine_vocabulary:hasAssayType	1509463	8
http://mo-ld.org/mine_type:SpecimenNum	http://mo-ld.org/mine_vocabulary:hasSpecimenNum	1509463	156
http://mo-ld.org/mine_type:AssayId	http://mo-ld.org/mine_vocabulary:hasAssayId	1509463	72824
http://mo-ld.org/mine_type:Strength	http://mo-ld.org/mine_vocabulary:hasStrength	1509463	9
http://mo-ld.org/resource/mousemine_EMAPATerm	http://mo-ld.org/mine_vocabulary:hasEMAPATerm	1509463	3561
http://mo-ld.org/resource/mousemine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasEMAPATerm	1509463	3561
http://mo-ld.org/mine_type:Stage	http://mo-ld.org/mine_vocabulary:hasStage	1509463	28
http://mo-ld.org/mine_type:Sex	http://mo-ld.org/mine_vocabulary:hasSex	1509097	4
http://mo-ld.org/mine_type:Probe	http://mo-ld.org/mine_vocabulary:hasProbe	1487568	51987
http://mo-ld.org/mine_type:Detected	http://mo-ld.org/mine_vocabulary:hasDetected	1484265	2
http://mo-ld.org/resource/mousemine_Author	http://mo-ld.org/mine_vocabulary:hasAuthor	1476701	370189
http://mo-ld.org/resource/mousemine_Organism	http://mo-ld.org/mine_vocabulary:hasOrganism	1390031	7
http://mo-ld.org/mine_type:Redundant	http://mo-ld.org/mine_vocabulary:hasRedundant	1339911	2
http://mo-ld.org/mine_type:Direct	http://mo-ld.org/mine_vocabulary:hasDirect	1339911	2
http://mo-ld.org/mine_type:Relationship	http://mo-ld.org/mine_vocabulary:hasRelationship	1339911	19
http://mo-ld.org/mine_type:Symbol	http://mo-ld.org/mine_vocabulary:hasSymbol	1218819	1152181
http://mo-ld.org/mine_type:PrimaryIdentifier	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	1216971	1216958
http://mo-ld.org/resource/mousemine_OntologyAnnotationEvidence	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotationEvidence	1130578	1130578
http://mo-ld.org/resource/mousemine_OntologyAnnotationEvidenceCode	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotationEvidenceCode	1130578	25
http://mo-ld.org/mine_type:Image	http://mo-ld.org/mine_vocabulary:hasImage	1095656	158268
http://mo-ld.org/resource/mousemine_GOAnnotation	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	985097	309248
http://mo-ld.org/mine_type:Pattern	http://mo-ld.org/mine_vocabulary:hasPattern	965068	14
http://mo-ld.org/mine_type:CellLineType	http://mo-ld.org/mine_vocabulary:hasCellLineType	946223	2
http://mo-ld.org/resource/mousemine_CellLineDerivation	http://mo-ld.org/mine_vocabulary:hasCellLineDerivation	946005	611
http://mo-ld.org/resource/mousemine_CellLine	http://mo-ld.org/mine_vocabulary:hasCellLine	930309	920132
http://mo-ld.org/resource/mousemine_MPTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	924446	11205
http://mo-ld.org/mine_type:IsWildType	http://mo-ld.org/mine_vocabulary:hasIsWildType	799658	2
http://mo-ld.org/mine_type:IsRecombinase	http://mo-ld.org/mine_vocabulary:hasIsRecombinase	799658	2
http://mo-ld.org/mine_type:AlleleType	http://mo-ld.org/mine_vocabulary:hasAlleleType	780510	12
http://mo-ld.org/resource/mousemine_AlleleMolecularMutation	http://mo-ld.org/mine_vocabulary:hasAlleleMolecularMutation	750209	18
http://mo-ld.org/resource/mousemine_Location	http://mo-ld.org/mine_vocabulary:hasLocation	722986	361493
http://mo-ld.org/mine_type:MolecularNote	http://mo-ld.org/mine_vocabulary:hasMolecularNote	721666	56916
http://mo-ld.org/mine_type:GlTransmission	http://mo-ld.org/mine_vocabulary:hasGlTransmission	718728	4
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasCellLine	548701	543496
http://mo-ld.org/resource/mousemine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasSOTerm	481893	43
