URI	Count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	43207601
http://mo-ld.org/mine_vocabulary:hasPublication	11490402
http://mo-ld.org/mine_vocabulary:hasSequenceFeature	11274159
http://mo-ld.org/mine_vocabulary:hasDataSet	11214080
http://mo-ld.org/mine_vocabulary:hasBioEntity	10083155
http://mo-ld.org/mine_vocabulary:hasDataSource	9971229
http://www.w3.org/1999/02/22-rdf-syntax-ns#value	9707247
http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	9149965
http://mo-ld.org/mine_vocabulary:hasGene	7725834
http://mo-ld.org/mine_vocabulary:hasGXDExpression	6037852
http://mo-ld.org/mine_vocabulary:hasIdentifier	5468853
http://mo-ld.org/mine_vocabulary:hasCrossReference	5048266
http://mo-ld.org/mine_vocabulary:hasRelationshipTerm	4636316
http://mo-ld.org/mine_vocabulary:hasEvidenceCode	4636316
http://mo-ld.org/mine_vocabulary:hasValidation	4574909
http://mo-ld.org/mine_vocabulary:hasOrganizerProductId	4574909
http://mo-ld.org/mine_vocabulary:hasAlgorithm	4574909
http://mo-ld.org/mine_vocabulary:hasScore	4561304
http://mo-ld.org/mine_vocabulary:hasParticipantProductId	4275929
http://mo-ld.org/mine_vocabulary:hasType	4207337
http://mo-ld.org/mine_vocabulary:hasHomologue	3862918
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	3839315
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	3770137
http://mo-ld.org/mine_vocabulary:hasOntologyTerm	3747975
http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2679822
http://www.w3.org/2000/01/rdf-schema#label	2380919
http://mo-ld.org/mine_vocabulary:hasValue	2201214
http://mo-ld.org/mine_vocabulary:hasSynonym	2201214
http://mo-ld.org/mine_vocabulary:hasStrain	1811019
http://mo-ld.org/mine_vocabulary:hasGenotype	1767742
http://mo-ld.org/mine_vocabulary:hasAllele	1665721
http://mo-ld.org/mine_vocabulary:hasStage	1509463
http://mo-ld.org/mine_vocabulary:hasAge	1509463
http://mo-ld.org/mine_vocabulary:hasAssayId	1509463
http://mo-ld.org/mine_vocabulary:hasSpecimenNum	1509463
http://mo-ld.org/mine_vocabulary:hasStrength	1509463
http://mo-ld.org/mine_vocabulary:hasEMAPATerm	1509463
http://mo-ld.org/mine_vocabulary:hasAssayType	1509463
http://mo-ld.org/mine_vocabulary:hasEmaps	1509463
http://mo-ld.org/mine_vocabulary:hasSex	1509097
http://mo-ld.org/mine_vocabulary:hasProbe	1487568
http://mo-ld.org/mine_vocabulary:hasDetected	1484265
http://mo-ld.org/mine_vocabulary:hasAuthor	1476701
http://mo-ld.org/mine_vocabulary:hasOrganism	1390031
http://mo-ld.org/mine_vocabulary:hasDirect	1339911
http://mo-ld.org/mine_vocabulary:hasRedundant	1339911
http://mo-ld.org/mine_vocabulary:hasRelationship	1339911
http://mo-ld.org/mine_vocabulary:hasSymbol	1218819
http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	1216971
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotationEvidence	1130578
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotationEvidenceCode	1130578
http://www.w3.org/2004/02/skos/core#exactMatch	1121035
http://mo-ld.org/mine_vocabulary:hasImage	1095656
http://mo-ld.org/mine_vocabulary:hasPattern	965068
http://mo-ld.org/mine_vocabulary:hasCellLineType	946223
http://mo-ld.org/mine_vocabulary:hasCellLineDerivation	946005
http://mo-ld.org/mine_vocabulary:hasCellLine	930309
http://mo-ld.org/mine_vocabulary:hasIsRecombinase	799658
http://mo-ld.org/mine_vocabulary:hasIsWildType	799658
http://mo-ld.org/mine_vocabulary:hasAlleleType	780510
http://mo-ld.org/mine_vocabulary:hasAlleleMolecularMutation	750209
http://mo-ld.org/mine_vocabulary:hasLocation	722986
http://mo-ld.org/mine_vocabulary:hasMolecularNote	721666
http://mo-ld.org/mine_vocabulary:hasGlTransmission	718728
http://mo-ld.org/mine_vocabulary:hasSOTerm	481893
http://mo-ld.org/mine_vocabulary:hasChromosome	402239
http://mo-ld.org/mine_vocabulary:hasLength	384321
http://mo-ld.org/mine_vocabulary:hasStart	361493
http://mo-ld.org/mine_vocabulary:hasEnd	361493
http://mo-ld.org/mine_vocabulary:hasStrand	361431
http://mo-ld.org/mine_vocabulary:hasGOAnnotation	307407
http://mo-ld.org/mine_vocabulary:hasWithText	278741
http://mo-ld.org/mine_vocabulary:hasProjectCollection	251092
http://mo-ld.org/mine_vocabulary:hasYear	224913
http://mo-ld.org/mine_vocabulary:hasTitle	224877
http://mo-ld.org/mine_vocabulary:hasFirstAuthor	224877
http://mo-ld.org/mine_vocabulary:hasJournal	224571
http://mo-ld.org/mine_vocabulary:hasPages	223010
http://mo-ld.org/mine_vocabulary:hasCitation	222903
http://mo-ld.org/mine_vocabulary:hasMgiId	222903
http://mo-ld.org/mine_vocabulary:hasMgiJnum	222903
http://mo-ld.org/mine_vocabulary:hasVolume	220751
http://mo-ld.org/mine_vocabulary:hasPubMedId	217528
http://mo-ld.org/mine_vocabulary:hasAbstractText	211843
http://mo-ld.org/mine_vocabulary:hasIssue	210891
http://mo-ld.org/mine_vocabulary:hasInteractionDetail	209499
http://mo-ld.org/mine_vocabulary:hasNote	205799
http://mo-ld.org/mine_vocabulary:hasMgiType	187977
http://mo-ld.org/mine_vocabulary:hasInteraction	187671
http://mo-ld.org/mine_vocabulary:hasOntologyTermSynonym	172083
http://mo-ld.org/mine_vocabulary:hasDoi	132540
http://mo-ld.org/mine_vocabulary:hasAlleleAttribute	124742
http://mo-ld.org/mine_vocabulary:hasMGIMutationInvolves	113214
http://mo-ld.org/mine_vocabulary:hasRelationshipType	104668
http://mo-ld.org/mine_vocabulary:hasInteractionExperiment	104668
http://mo-ld.org/mine_vocabulary:hasRole1	104668
http://mo-ld.org/mine_vocabulary:hasRole2	104668
http://mo-ld.org/mine_vocabulary:hasNcbiGeneNumber	101073
http://mo-ld.org/mine_vocabulary:hasDescription	89999
http://mo-ld.org/mine_vocabulary:hasPairState	84843
http://mo-ld.org/mine_vocabulary:hasGenotypeAllelePair	84843
http://mo-ld.org/mine_vocabulary:hasObsolete	72460
http://mo-ld.org/mine_vocabulary:hasOntology	72460
http://mo-ld.org/mine_vocabulary:hasZygosity	65138
http://mo-ld.org/mine_vocabulary:hasExistsAs	65138
http://mo-ld.org/mine_vocabulary:hasIsConditional	65138
http://mo-ld.org/mine_vocabulary:hasAttributeString	64229
http://mo-ld.org/mine_vocabulary:hasInheritanceMode	48961
http://mo-ld.org/mine_vocabulary:hasStrainType	38538
http://mo-ld.org/mine_vocabulary:hasAnnotationExtension	29715
http://mo-ld.org/mine_vocabulary:hasQualifier	19045
http://mo-ld.org/mine_vocabulary:hasOtherRefs	13605
http://mo-ld.org/mine_vocabulary:hasInteractionTerm	11827
http://mo-ld.org/mine_vocabulary:hasMGIExpressesComponent	8308
http://mo-ld.org/mine_vocabulary:hasEndsAt	6450
http://mo-ld.org/mine_vocabulary:hasStartsAt	6450
http://mo-ld.org/mine_vocabulary:hasComment	5282
http://mo-ld.org/mine_vocabulary:hasVector	2789
http://mo-ld.org/mine_vocabulary:hasCreator	2789
http://mo-ld.org/mine_vocabulary:hasVectorType	2786
http://mo-ld.org/mine_vocabulary:hasDerivationType	2627
http://mo-ld.org/mine_vocabulary:hasDrivenBy	2495
http://mo-ld.org/mine_vocabulary:hasNonMouseOrganism	2108
http://mo-ld.org/mine_vocabulary:hasNonMouseGeneSymbol	2108
http://mo-ld.org/mine_vocabulary:hasNonMouseNcbiGeneId	2065
http://mo-ld.org/mine_vocabulary:hasOrientation	1994
http://mo-ld.org/mine_vocabulary:hasSyntenicRegion	1994
http://mo-ld.org/mine_vocabulary:hasMGIClusterHasMember	1144
http://mo-ld.org/mine_vocabulary:hasInducedWith	848
http://mo-ld.org/mine_vocabulary:hasComplexClusterRegion	572
http://mo-ld.org/mine_vocabulary:hasInteractionRegion	163
http://mo-ld.org/mine_vocabulary:hasStartStatus	163
http://mo-ld.org/mine_vocabulary:hasEndStatus	163
http://mo-ld.org/mine_vocabulary:hasUrl	119
http://www.w3.org/2000/01/rdf-schema#subClassOf	39
http://mo-ld.org/mine_vocabulary:hasCode	30
http://mo-ld.org/mine_vocabulary:hasGenus	7
http://mo-ld.org/mine_vocabulary:hasShortName	7
http://mo-ld.org/mine_vocabulary:hasSpecies	7
http://mo-ld.org/mine_vocabulary:hasCommonName	7
http://mo-ld.org/mine_vocabulary:hasTaxonId	7
http://mo-ld.org/mine_vocabulary:hasVersion	5
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidenceCode	2
http://mo-ld.org/mine_vocabulary:hasAbbreviation	1
