Subject-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	9272632	4636316
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasSequenceFeature	9211298	4636316
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	9149966	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasSequenceFeature	9149965	4574983
http://mo-ld.org/resource/mousemine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	9149965	20921
http://mo-ld.org/resource/mousemine_Gene	http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	9136177	20694
http://mo-ld.org/resource/mousemine_BioEntity	http://mo-ld.org/mine_vocabulary:hasMGIInteractsWith	8242573	20677
http://mo-ld.org/resource/mousemine_Homologue	http://mo-ld.org/mine_vocabulary:hasGene	7725671	3882503
http://mo-ld.org/resource/mousemine_CrossReference	http://mo-ld.org/mine_vocabulary:hasDataSource	5396296	5396296
http://mo-ld.org/resource/mousemine_CrossReference	http://mo-ld.org/mine_vocabulary:hasIdentifier	5396296	5396296
http://mo-ld.org/resource/mousemine_CrossReference	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	5396296	5396296
http://mo-ld.org/resource/mousemine_BioEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4717181	1776166
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasDataSet	4636316	4636316
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasEvidenceCode	4636316	4636316
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasPublication	4636316	4636316
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasRelationshipTerm	4636316	4636316
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasPublication	4574983	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasDataSet	4574983	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasRelationshipTerm	4574983	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasEvidenceCode	4574983	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasOrganizerProductId	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasValidation	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasValidation	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIInteractsWith	http://mo-ld.org/mine_vocabulary:hasAlgorithm	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasOrganizerProductId	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasAlgorithm	4574909	4574909
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	http://mo-ld.org/mine_vocabulary:hasDataSource	4574909	4574909
