Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
mold_res:\nmousemine_MGIDirectedRelationship	9211298	4636316	mine_voc:\nhasSequenceFeature	mold_res:\nmousemine_SequenceFeature	9211298	37865
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	9186409	4625215	mine_voc:\nhasSequenceFeature	mold_res:\nmousemine_Gene	9186409	31999
mold_res:\nmousemine_SequenceFeature	9149965	20921	mine_voc:\nhasMGIInteractsWith	mold_res:\nmousemine_MGIDirectedRelationship	9149965	4574983
http://mo-ld.org/resource/mousemine_SequenceFeature	9149965	20921	mine_voc:\nhasMGIInteractsWith	mold_res:\nmousemine_MGIInteractsWith	9149965	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	9149965	4574983	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_SequenceFeature	9149965	20921
mold_res:\nmousemine_Gene	9136177	20694	mine_voc:\nhasMGIInteractsWith	http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	9136177	4574983
http://mo-ld.org/resource/mousemine_Gene	9136177	20694	mine_voc:\nhasMGIInteractsWith	http://mo-ld.org/resource/mousemine_MGIInteractsWith	9136177	4574983
http://mo-ld.org/resource/mousemine_MGIInteractsWith	9136177	4574983	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_Gene	9136177	20694
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	8294885	4624887	mine_voc:\nhasSequenceFeature	mold_res:\nmousemine_BioEntity	8294885	32995
mold_res:\nmousemine_BioEntity	8242573	20677	mine_voc:\nhasMGIInteractsWith	http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	8242573	4572575
http://mo-ld.org/resource/mousemine_BioEntity	8242573	20677	mine_voc:\nhasMGIInteractsWith	http://mo-ld.org/resource/mousemine_MGIInteractsWith	8242573	4572575
http://mo-ld.org/resource/mousemine_MGIInteractsWith	8242573	4572575	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_BioEntity	8242573	20677
mold_res:\nmousemine_Homologue	7725671	3882503	mine_voc:\nhasGene	http://mo-ld.org/resource/mousemine_Gene	7725671	118984
http://mo-ld.org/resource/mousemine_Homologue	7725671	3882503	mine_voc:\nhasGene	http://mo-ld.org/resource/mousemine_SequenceFeature	7725671	118984
http://mo-ld.org/resource/mousemine_Homologue	6608731	3555725	mine_voc:\nhasGene	http://mo-ld.org/resource/mousemine_BioEntity	6608731	94348
mold_res:\nmousemine_CrossReference	5396296	5396296	mine_voc:\nhasDataSource	mold_res:\nmousemine_DataSource	5396296	62
http://mo-ld.org/resource/mousemine_CrossReference	5396296	5396296	mine_voc:\nhasIdentifier	mine_type:\nIdentifier	5396296	1938365
mold_res:\nmousemine_MGIDirectedRelationship	4636316	4636316	mine_voc:\nhasDataSet	mold_res:\nmousemine_DataSet	4636316	4
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4636316	4636316	mine_voc:\nhasRelationshipTerm	mine_type:\nRelationshipTerm	4636316	19
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4636316	4636316	mine_voc:\nhasPublication	mold_res:\nmousemine_Publication	4636316	2960
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4636316	4636316	mine_voc:\nhasEvidenceCode	mine_type:\nEvidenceCode	4636316	6
mold_res:\nmousemine_MGIInteractsWith	4574983	4574983	mine_voc:\nhasDataSet	http://mo-ld.org/resource/mousemine_DataSet	4574983	1
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574983	4574983	mine_voc:\nhasRelationshipTerm	http://mo-ld.org/mine_type:RelationshipTerm	4574983	5
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574983	4574983	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	4574983	30
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574983	4574983	mine_voc:\nhasEvidenceCode	http://mo-ld.org/mine_type:EvidenceCode	4574983	5
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4574909	4574909	mine_voc:\nhasDataSource	mine_type:\nDataSource	4574909	4
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574909	4574909	mine_voc:\nhasDataSource	http://mo-ld.org/mine_type:DataSource	4574909	4
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4574909	4574909	mine_voc:\nhasValidation	mine_type:\nValidation	4574909	2
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574909	4574909	mine_voc:\nhasValidation	http://mo-ld.org/mine_type:Validation	4574909	2
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4574909	4574909	mine_voc:\nhasOrganizerProductId	mine_type:\nOrganizerProductId	4574909	1100
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574909	4574909	mine_voc:\nhasOrganizerProductId	http://mo-ld.org/mine_type:OrganizerProductId	4574909	1100
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4574909	4574909	mine_voc:\nhasAlgorithm	mine_type:\nAlgorithm	4574909	4
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574909	4574909	mine_voc:\nhasAlgorithm	http://mo-ld.org/mine_type:Algorithm	4574909	4
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4561304	4561304	mine_voc:\nhasScore	mine_type:\nScore	4561304	234459
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4561304	4561304	mine_voc:\nhasScore	http://mo-ld.org/mine_type:Score	4561304	234459
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4275929	4275929	mine_voc:\nhasParticipantProductId	mine_type:\nParticipantProductId	4275929	40636
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4275929	4275929	mine_voc:\nhasParticipantProductId	http://mo-ld.org/mine_type:ParticipantProductId	4275929	40636
mold_res:\nmousemine_Homologue	3929891	3929891	mine_voc:\nhasDataSet	mold_res:\nmousemine_DataSet	3929891	3
http://mo-ld.org/resource/mousemine_Homologue	3929891	3929891	mine_voc:\nhasType	mine_type:\nType	3929891	5
http://mo-ld.org/resource/mousemine_Gene	3862918	118984	mine_voc:\nhasHomologue	http://mo-ld.org/resource/mousemine_Homologue	3862918	3862918
http://mo-ld.org/resource/mousemine_SequenceFeature	3862918	118984	mine_voc:\nhasHomologue	http://mo-ld.org/resource/mousemine_Homologue	3862918	3862918
http://mo-ld.org/resource/mousemine_Homologue	3770137	3770137	mine_voc:\nhasOrthologueEvidence	mold_res:\nmousemine_OrthologueEvidence	3770137	2
http://mo-ld.org/resource/mousemine_BioEntity	3304420	94348	mine_voc:\nhasHomologue	http://mo-ld.org/resource/mousemine_Homologue	3304420	3304420
http://mo-ld.org/resource/mousemine_Homologue	3270271	3270271	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/mousemine_CrossReference	3270271	3270271
mold_res:\nmousemine_OntologyRelation	2679822	1339911	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_OntologyTerm	2679822	63185
http://mo-ld.org/resource/mousemine_OntologyTerm	2679822	63185	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/mousemine_OntologyRelation	2679822	1339911
mold_res:\nmousemine_Publication	2504196	184583	mine_voc:\nhasBioEntity	mold_res:\nmousemine_BioEntity	2504196	817280
http://mo-ld.org/resource/mousemine_BioEntity	2504196	817280	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	2504196	184583
mold_res:\nmousemine_OntologyRelation	2267438	1133719	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_GOTerm	2267438	42338
http://mo-ld.org/resource/mousemine_GOTerm	2267438	42338	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/mousemine_OntologyRelation	2267438	1133719
mold_res:\nmousemine_Synonym	2201214	2201214	mine_voc:\nhasValue	mine_type:\nValue	2201214	2051255
mold_res:\nmousemine_Synonym	1894110	1894110	mine_voc:\nhasBioEntity	mold_res:\nmousemine_BioEntity	1894110	817213
http://mo-ld.org/resource/mousemine_BioEntity	1894110	817213	mine_voc:\nhasSynonym	http://mo-ld.org/resource/mousemine_Synonym	1894110	1894110
http://mo-ld.org/resource/mousemine_CrossReference	1722705	1722705	mine_voc:\nhasBioEntity	mold_res:\nmousemine_SequenceFeature	1722705	138309
