URI	Count	Distinct_count
http://mo-ld.org/resource/mousemine_CrossReference	5396296	5396296
http://mo-ld.org/resource/mousemine_MGIDirectedRelationship	4636316	4636316
http://mo-ld.org/resource/mousemine_MGIInteractsWith	4574983	4574983
http://mo-ld.org/resource/mousemine_Homologue	3929891	3929891
http://mo-ld.org/resource/mousemine_Synonym	2201214	2201214
http://mo-ld.org/mine_type:Value	2051255	2051255
http://mo-ld.org/mine_type:Identifier	2010922	2010922
http://mo-ld.org/resource/mousemine_BioEntity	1776166	1776166
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_OntologyRelation	1339911	1339911
http://mo-ld.org/mine_type:PrimaryIdentifier	1216958	1216958
http://mo-ld.org/mine_type:Symbol	1152181	1152181
http://mo-ld.org/resource/mousemine_OntologyAnnotationEvidence	1130578	1130578
http://mo-ld.org/resource/mousemine_OntologyAnnotation	1067990	1067990
http://mo-ld.org/resource/mousemine_CellLine	946223	946223
http://mo-ld.org/resource/mousemine_SequenceCollection	800787	800787
http://mo-ld.org/resource/mousemine_Allele	799658	799658
http://mo-ld.org/resource/mousemine_SequenceFeature	481893	481893
http://mo-ld.org/resource/mousemine_Gene	388065	388065
http://mo-ld.org/resource/mousemine_Author	370189	370189
http://mo-ld.org/resource/mousemine_GOEvidence	366601	366601
http://mo-ld.org/resource/mousemine_Location	361493	361493
http://mo-ld.org/mine_type:End	318262	318262
http://mo-ld.org/mine_type:Start	316375	316375
http://mo-ld.org/resource/mousemine_GOAnnotation	309248	309248
http://mo-ld.org/mine_type:Score	234459	234459
http://mo-ld.org/resource/mousemine_Publication	224987	224987
http://mo-ld.org/mine_type:Title	224617	224617
http://mo-ld.org/mine_type:MgiId	222903	222903
http://mo-ld.org/mine_type:MgiJnum	222903	222903
http://mo-ld.org/mine_type:Citation	222855	222855
http://mo-ld.org/mine_type:PubMedId	217528	217528
http://mo-ld.org/mine_type:AbstractText	211058	211058
http://mo-ld.org/resource/mousemine_OntologyTermSynonym	164168	164168
http://mo-ld.org/mine_type:Image	158268	158268
http://mo-ld.org/mine_type:Doi	132532	132532
http://mo-ld.org/mine_type:FirstAuthor	115350	115350
http://mo-ld.org/resource/mousemine_InteractionDetail	104668	104668
http://mo-ld.org/mine_type:NcbiGeneNumber	101068	101068
http://mo-ld.org/mine_type:Pages	94333	94333
http://mo-ld.org/resource/mousemine_GenotypeAllelePair	84843	84843
http://mo-ld.org/resource/mousemine_Interaction	83003	83003
http://mo-ld.org/mine_type:Description	76873	76873
http://mo-ld.org/mine_type:AssayId	72824	72824
http://mo-ld.org/resource/mousemine_OntologyTerm	72557	72557
http://mo-ld.org/resource/mousemine_Genotype	65138	65138
http://mo-ld.org/mine_type:Note	60751	60751
http://mo-ld.org/mine_type:MolecularNote	56916	56916
http://mo-ld.org/resource/mousemine_MGIMutationInvolves	56607	56607
http://mo-ld.org/mine_type:Length	55854	55854
http://mo-ld.org/mine_type:Probe	51987	51987
http://mo-ld.org/resource/mousemine_Strain	43342	43342
http://mo-ld.org/resource/mousemine_GOTerm	42338	42338
http://mo-ld.org/mine_type:WithText	42177	42177
http://mo-ld.org/mine_type:ParticipantProductId	40636	40636
http://mo-ld.org/resource/mousemine_OtherGenomeFeature	24470	24470
http://mo-ld.org/resource/mousemine_Chromosome	22890	22890
http://mo-ld.org/resource/mousemine_DNASegment	20356	20356
http://mo-ld.org/resource/mousemine_Pseudogene	13118	13118
http://mo-ld.org/mine_type:Emaps	11901	11901
http://mo-ld.org/resource/mousemine_MPTerm	11205	11205
http://mo-ld.org/resource/mousemine_DiseaseTerm	9275	9275
http://mo-ld.org/resource/mousemine_MedicTerm	9275	9275
http://mo-ld.org/resource/mousemine_Comment	8610	8610
http://mo-ld.org/resource/mousemine_InteractionExperiment	7629	7629
http://mo-ld.org/resource/mousemine_Transgene	7611	7611
http://mo-ld.org/resource/mousemine_EMAPATerm	6450	6450
http://mo-ld.org/resource/mousemine_AnatomyTerm	6450	6450
http://mo-ld.org/resource/mousemine_QTL	5139	5139
http://mo-ld.org/resource/mousemine_MGIExpressesComponent	4154	4154
http://mo-ld.org/mine_type:Issue	2802	2802
http://mo-ld.org/resource/mousemine_CellLineDerivation	2789	2789
http://mo-ld.org/resource/mousemine_HeritablePhenotypicMarker	2737	2737
http://mo-ld.org/mine_type:Journal	2520	2520
http://mo-ld.org/mine_type:Volume	2290	2290
http://mo-ld.org/resource/mousemine_SyntenicRegion	1994	1994
http://mo-ld.org/resource/mousemine_SOTerm	1936	1936
http://mo-ld.org/resource/mousemine_InteractionTerm	1257	1257
http://mo-ld.org/resource/mousemine_ChromosomeStructureVariation	1129	1129
http://mo-ld.org/mine_type:OrganizerProductId	1100	1100
http://mo-ld.org/mine_type:DrivenBy	1056	1056
http://mo-ld.org/resource/mousemine_Read	887	887
http://mo-ld.org/resource/mousemine_GeneSegment	851	851
http://mo-ld.org/mine_type:NonMouseGeneSymbol	821	821
http://mo-ld.org/mine_type:NonMouseNcbiGeneId	809	809
http://mo-ld.org/resource/mousemine_MGIClusterHasMember	572	572
http://mo-ld.org/mine_type:Age	533	533
http://mo-ld.org/mine_type:OtherRefs	310	310
http://mo-ld.org/resource/mousemine_ComplexClusterRegion	232	232
http://mo-ld.org/mine_type:AttributeString	209	209
http://mo-ld.org/resource/mousemine_PseudogenicGeneSegment	196	196
http://mo-ld.org/resource/mousemine_DataSource	178	178
http://mo-ld.org/resource/mousemine_InteractionRegion	163	163
http://mo-ld.org/mine_type:Vector	160	160
http://mo-ld.org/mine_type:SpecimenNum	156	156
http://mo-ld.org/mine_type:Year	102	102
http://mo-ld.org/mine_type:Url	99	99
http://mo-ld.org/mine_type:Creator	47	47
http://mo-ld.org/mine_type:MgiType	47	47
http://mo-ld.org/resource/mousemine_OntologyAnnotationEvidenceCode	30	30
http://mo-ld.org/mine_type:Stage	28	28
http://mo-ld.org/mine_type:EndsAt	27	27
http://mo-ld.org/mine_type:StartsAt	27	27
http://mo-ld.org/resource/mousemine_Insertion	25	25
http://mo-ld.org/mine_type:NonMouseOrganism	25	25
http://mo-ld.org/resource/mousemine_DataSet	24	24
http://mo-ld.org/mine_type:Code	23	23
http://mo-ld.org/mine_type:RelationshipType	23	23
http://mo-ld.org/resource/mousemine_GOEvidenceCode	22	22
http://mo-ld.org/mine_type:Relationship	19	19
http://mo-ld.org/mine_type:RelationshipTerm	19	19
http://mo-ld.org/resource/mousemine_AlleleAttribute	19	19
http://mo-ld.org/mine_type:Type	18	18
http://mo-ld.org/mine_type:ProjectCollection	18	18
http://mo-ld.org/resource/mousemine_AlleleMolecularMutation	18	18
http://mo-ld.org/mine_type:InducedWith	14	14
http://mo-ld.org/mine_type:Pattern	14	14
http://mo-ld.org/resource/mousemine_PolymorphicPseudogene	13	13
http://mo-ld.org/mine_type:AlleleType	12	12
http://mo-ld.org/mine_type:Role1	11	11
http://mo-ld.org/mine_type:Role2	11	11
http://mo-ld.org/mine_type:DerivationType	11	11
http://mo-ld.org/mine_type:PairState	9	9
http://mo-ld.org/mine_type:Strength	9	9
http://mo-ld.org/mine_type:AssayType	8	8
http://mo-ld.org/mine_type:StrainType	8	8
http://mo-ld.org/mine_type:CommonName	7	7
http://mo-ld.org/mine_type:Genus	7	7
http://mo-ld.org/mine_type:ShortName	7	7
