URI	Count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	21181658
http://mo-ld.org/mine_vocabulary:hasDataSet	10306193
http://mo-ld.org/mine_vocabulary:hasGene	7402518
http://mo-ld.org/mine_vocabulary:hasOntologyTerm	5286646
http://mo-ld.org/mine_vocabulary:hasOntologyRelation	4003508
http://mo-ld.org/mine_vocabulary:hasType	3949315
http://mo-ld.org/mine_vocabulary:hasHomologue	3652608
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	3583230
http://mo-ld.org/mine_vocabulary:hasIdentifier	3151035
http://mo-ld.org/mine_vocabulary:hasDataSource	3061888
http://mo-ld.org/mine_vocabulary:hasCrossReference	3017299
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	2185882
http://mo-ld.org/mine_vocabulary:hasDirect	2001768
http://mo-ld.org/mine_vocabulary:hasRedundant	2001768
http://mo-ld.org/mine_vocabulary:hasRelationship	2001768
http://mo-ld.org/mine_vocabulary:hasBioEntity	1938342
http://www.w3.org/1999/02/22-rdf-syntax-ns#value	1587339
http://mo-ld.org/mine_vocabulary:hasGOEvidence	1462249
http://mo-ld.org/mine_vocabulary:hasGOEvidenceCode	1462249
http://www.w3.org/2004/02/skos/core#exactMatch	1125057
http://mo-ld.org/mine_vocabulary:hasAnnotationExtension	809206
http://mo-ld.org/mine_vocabulary:hasGOAnnotation	809206
http://www.w3.org/2000/01/rdf-schema#label	637374
http://mo-ld.org/mine_vocabulary:hasWithText	534955
http://mo-ld.org/mine_vocabulary:hasPublication	519214
http://mo-ld.org/mine_vocabulary:hasAuthor	293022
http://mo-ld.org/mine_vocabulary:hasOrganism	246511
http://mo-ld.org/mine_vocabulary:hasDescription	242887
http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	240622
http://mo-ld.org/mine_vocabulary:hasLength	209229
http://mo-ld.org/mine_vocabulary:hasLocation	202958
http://mo-ld.org/mine_vocabulary:hasOntologyTermSynonym	201580
http://mo-ld.org/mine_vocabulary:hasSOTerm	187579
http://mo-ld.org/mine_vocabulary:hasMPEvidenceCode	165774
http://mo-ld.org/mine_vocabulary:hasMPEvidence	165774
http://mo-ld.org/mine_vocabulary:hasMPAnnotation	153971
http://mo-ld.org/mine_vocabulary:hasProtein	149019
http://mo-ld.org/mine_vocabulary:hasEnd	130830
http://mo-ld.org/mine_vocabulary:hasMd5checksum	110580
http://mo-ld.org/mine_vocabulary:hasSymbol	105584
http://mo-ld.org/mine_vocabulary:hasStart	104142
http://mo-ld.org/mine_vocabulary:hasSecondaryIdentifier	99797
http://mo-ld.org/mine_vocabulary:hasStrand	98778
http://mo-ld.org/mine_vocabulary:hasChromosome	98649
http://mo-ld.org/mine_vocabulary:hasProteinDomain	92650
http://mo-ld.org/mine_vocabulary:hasDOEvidenceCode	79037
http://mo-ld.org/mine_vocabulary:hasDOEvidence	79037
http://mo-ld.org/mine_vocabulary:hasOntology	77638
http://mo-ld.org/mine_vocabulary:hasObsolete	76481
http://mo-ld.org/mine_vocabulary:hasDOAnnotation	74845
http://mo-ld.org/mine_vocabulary:hasTitle	74277
http://mo-ld.org/mine_vocabulary:hasComment	65921
http://mo-ld.org/mine_vocabulary:hasValue	63311
http://mo-ld.org/mine_vocabulary:hasPrimaryAccession	55294
http://mo-ld.org/mine_vocabulary:hasSequence	55290
http://mo-ld.org/mine_vocabulary:hasResidues	55290
http://mo-ld.org/mine_vocabulary:hasSynonym	47593
http://mo-ld.org/mine_vocabulary:hasPWEvidenceCode	46472
http://mo-ld.org/mine_vocabulary:hasPWEvidence	46472
http://mo-ld.org/mine_vocabulary:hasPubMedId	45727
http://mo-ld.org/mine_vocabulary:hasJournal	45703
http://mo-ld.org/mine_vocabulary:hasFirstAuthor	45697
http://mo-ld.org/mine_vocabulary:hasYear	45697
http://mo-ld.org/mine_vocabulary:hasPages	45654
http://mo-ld.org/mine_vocabulary:hasVolume	45626
http://mo-ld.org/mine_vocabulary:hasIssue	44186
http://mo-ld.org/mine_vocabulary:hasPWAnnotation	43195
http://mo-ld.org/mine_vocabulary:hasEnsemblIdentifier	39268
http://mo-ld.org/mine_vocabulary:hasIsFragment	28134
http://mo-ld.org/mine_vocabulary:hasUniprotName	28134
http://mo-ld.org/mine_vocabulary:hasIsUniprotCanonical	28134
http://mo-ld.org/mine_vocabulary:hasUniprotAccession	28134
http://mo-ld.org/mine_vocabulary:hasOMIMMethod	27159
http://mo-ld.org/mine_vocabulary:hasUniProtFeature	26711
http://mo-ld.org/mine_vocabulary:hasBegin	26691
http://mo-ld.org/mine_vocabulary:hasMolecularWeight	26633
http://mo-ld.org/mine_vocabulary:hasOMIM	24282
http://mo-ld.org/mine_vocabulary:hasQualifier	20485
http://mo-ld.org/mine_vocabulary:hasPathway	16394
http://mo-ld.org/mine_vocabulary:hasInteractionDetail	16223
http://mo-ld.org/mine_vocabulary:hasPharmGKBidentifier	15684
http://mo-ld.org/mine_vocabulary:hasInteraction	14097
http://mo-ld.org/mine_vocabulary:hasDateEntered	13841
http://mo-ld.org/mine_vocabulary:hasCytogenticLocation	13841
http://mo-ld.org/mine_vocabulary:hasStatus	13838
http://mo-ld.org/mine_vocabulary:hasInteractionTerm	9870
http://mo-ld.org/mine_vocabulary:hasShortName	9323
http://mo-ld.org/mine_vocabulary:hasInteractionExperiment	8082
http://mo-ld.org/mine_vocabulary:hasRole1	8082
http://mo-ld.org/mine_vocabulary:hasRole2	8082
http://mo-ld.org/mine_vocabulary:hasOMIMPhenotype	6152
http://mo-ld.org/mine_vocabulary:hasStrain	5367
http://mo-ld.org/mine_vocabulary:hasECNumber	2698
http://mo-ld.org/mine_vocabulary:hasRSTerm	2678
http://mo-ld.org/mine_vocabulary:hasOrigin	2667
http://mo-ld.org/mine_vocabulary:hasSource	2513
http://mo-ld.org/mine_vocabulary:hasTissue	1572
http://mo-ld.org/mine_vocabulary:haseQTL	1572
http://mo-ld.org/mine_vocabulary:hasExpression	1572
http://mo-ld.org/mine_vocabulary:hasFoldChange	1572
http://mo-ld.org/mine_vocabulary:hasPval	1572
http://mo-ld.org/mine_vocabulary:hasSubmission	787
http://mo-ld.org/mine_vocabulary:hasSimpleSequenceLengthVariation	786
http://mo-ld.org/mine_vocabulary:hasReaperPValue	786
http://mo-ld.org/mine_vocabulary:hasProbeSet	786
http://mo-ld.org/mine_vocabulary:hasDataPoint	786
http://mo-ld.org/mine_vocabulary:hasComponent	605
http://mo-ld.org/mine_vocabulary:hasCode	89
http://mo-ld.org/mine_vocabulary:hasInteractionRegion	59
http://mo-ld.org/mine_vocabulary:hasStartStatus	59
http://mo-ld.org/mine_vocabulary:hasEndStatus	59
http://www.w3.org/2000/01/rdf-schema#subClassOf	28
http://mo-ld.org/mine_vocabulary:hasUrl	9
http://mo-ld.org/mine_vocabulary:hasGenus	7
http://mo-ld.org/mine_vocabulary:hasSpecies	7
http://mo-ld.org/mine_vocabulary:hasCommonName	7
http://mo-ld.org/mine_vocabulary:hasTaxonId	7
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidenceCode	2
http://mo-ld.org/mine_vocabulary:hasAbbreviation	2
http://mo-ld.org/mine_vocabulary:hasExperimentDate	1
