Subject-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/ratmine_Homologue	http://mo-ld.org/mine_vocabulary:hasGene	7304626	3652608
http://mo-ld.org/resource/ratmine_rsSNP	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4509999	4509999
http://mo-ld.org/resource/ratmine_rsSNP	http://mo-ld.org/mine_vocabulary:hasDataSet	4509999	4509999
http://mo-ld.org/resource/ratmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	4003508	76481
http://mo-ld.org/resource/ratmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	4003508	2001768
http://mo-ld.org/resource/ratmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasHomologue	3652608	134891
http://mo-ld.org/resource/ratmine_Homologue	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3652608	3652608
http://mo-ld.org/resource/ratmine_Homologue	http://mo-ld.org/mine_vocabulary:hasType	3652608	3652608
http://mo-ld.org/resource/ratmine_Gene	http://mo-ld.org/mine_vocabulary:hasHomologue	3652608	134891
http://mo-ld.org/resource/ratmine_Homologue	http://mo-ld.org/mine_vocabulary:hasDataSet	3652608	3652608
http://mo-ld.org/resource/ratmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasHomologue	3652608	134891
http://mo-ld.org/resource/ratmine_Homologue	http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	3583230	3583230
http://mo-ld.org/resource/ratmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasIdentifier	3017299	3017299
http://mo-ld.org/resource/ratmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasDataSource	3017299	3017299
http://mo-ld.org/resource/ratmine_CrossReference	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3017299	3017299
http://mo-ld.org/resource/ratmine_Homologue	http://mo-ld.org/mine_vocabulary:hasCrossReference	2971086	2971086
http://mo-ld.org/resource/ratmine_OntologyAnnotation	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2185882	1092941
http://mo-ld.org/resource/ratmine_OntologyRelation	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2001768	2001768
http://mo-ld.org/resource/ratmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRelationship	2001768	2001768
http://mo-ld.org/resource/ratmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRedundant	2001768	2001768
http://mo-ld.org/resource/ratmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasDirect	2001768	2001768
http://mo-ld.org/resource/ratmine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	1809926	37959
http://mo-ld.org/resource/ratmine_AnatomyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	1688924	8533
http://mo-ld.org/resource/ratmine_GOAnnotation	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1618412	809206
http://mo-ld.org/resource/ratmine_GOEvidence	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1462249	1462249
http://mo-ld.org/resource/ratmine_GOEvidence	http://mo-ld.org/mine_vocabulary:hasGOEvidenceCode	1462249	1462249
http://mo-ld.org/resource/ratmine_OntologyAnnotation	http://mo-ld.org/mine_vocabulary:hasBioEntity	1092941	1092941
http://mo-ld.org/resource/ratmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	1092941	68077
http://mo-ld.org/resource/ratmine_OntologyAnnotation	http://mo-ld.org/mine_vocabulary:hasDataSet	1092941	1092941
http://mo-ld.org/resource/ratmine_OntologyAnnotation	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	1092941	1092941
http://mo-ld.org/resource/ratmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	1092941	68077
http://mo-ld.org/resource/ratmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	1092941	27125
