URI	Count	Distinct_count
http://mo-ld.org/resource/ratmine_rsSNP	4509999	4509999
http://mo-ld.org/resource/ratmine_Homologue	3652608	3652608
http://mo-ld.org/resource/ratmine_CrossReference	3017299	3017299
http://mo-ld.org/resource/ratmine_OntologyRelation	2001768	2001768
http://mo-ld.org/resource/ratmine_GOEvidence	1462249	1462249
http://mo-ld.org/resource/ratmine_OntologyAnnotation	1092941	1092941
http://mo-ld.org/resource/ratmine_AnnotationExtension	809206	809206
http://mo-ld.org/resource/ratmine_GOAnnotation	809206	809206
http://mo-ld.org/resource/ratmine_BioEntity	253316	253316
http://mo-ld.org/mine_type:PrimaryIdentifier	240249	240249
http://mo-ld.org/resource/ratmine_OntologyTermSynonym	198009	198009
http://mo-ld.org/resource/ratmine_SequenceFeature	188079	188079
http://mo-ld.org/resource/ratmine_Gene	180741	180741
http://mo-ld.org/resource/ratmine_MPEvidence	165774	165774
http://mo-ld.org/resource/ratmine_MPAnnotation	165695	165695
http://mo-ld.org/mine_type:Description	152813	152813
http://mo-ld.org/resource/ratmine_Author	147685	147685
http://mo-ld.org/mine_type:Identifier	147428	147428
http://mo-ld.org/resource/ratmine_Location	104142	104142
http://mo-ld.org/mine_type:SecondaryIdentifier	99797	99797
http://mo-ld.org/mine_type:End	98189	98189
http://mo-ld.org/mine_type:Start	96408	96408
http://mo-ld.org/mine_type:Symbol	89460	89460
http://mo-ld.org/resource/ratmine_OntologyTerm	88972	88972
http://mo-ld.org/resource/ratmine_DOEvidence	79037	79037
http://mo-ld.org/resource/ratmine_DOAnnotation	74845	74845
http://mo-ld.org/mine_type:Title	74039	74039
http://mo-ld.org/mine_type:WithText	67503	67503
http://mo-ld.org/resource/ratmine_Synonym	63311	63311
http://mo-ld.org/resource/ratmine_Comment	62631	62631
http://mo-ld.org/mine_type:PrimaryAccession	55294	55294
http://mo-ld.org/resource/ratmine_Protein	55294	55294
http://mo-ld.org/resource/ratmine_Sequence	55290	55290
http://mo-ld.org/mine_type:Md5checksum	55100	55100
http://mo-ld.org/mine_type:Residues	55100	55100
http://mo-ld.org/mine_type:Value	49864	49864
http://mo-ld.org/resource/ratmine_PWEvidence	46472	46472
http://mo-ld.org/mine_type:PubMedId	45727	45727
http://mo-ld.org/resource/ratmine_Publication	45727	45727
http://mo-ld.org/mine_type:Length	45009	45009
http://mo-ld.org/resource/ratmine_DatabaseReference	44546	44546
http://mo-ld.org/resource/ratmine_PWAnnotation	43195	43195
http://mo-ld.org/mine_type:EnsemblIdentifier	38965	38965
http://mo-ld.org/resource/ratmine_GOTerm	37970	37970
http://mo-ld.org/mine_type:FirstAuthor	33733	33733
http://mo-ld.org/resource/ratmine_UniProtFeature	26711	26711
http://mo-ld.org/mine_type:UniprotAccession	26633	26633
http://mo-ld.org/mine_type:UniprotName	26633	26633
http://mo-ld.org/mine_type:Pages	26400	26400
http://mo-ld.org/mine_type:MolecularWeight	23253	23253
http://mo-ld.org/resource/ratmine_OMIM	22948	22948
http://mo-ld.org/mine_type:PharmGKBidentifier	15684	15684
http://mo-ld.org/resource/ratmine_DOTerm	12093	12093
http://mo-ld.org/mine_type:ShortName	9323	9323
http://mo-ld.org/resource/ratmine_ProteinDomain	9316	9316
http://mo-ld.org/resource/ratmine_MPTerm	9129	9129
http://mo-ld.org/resource/ratmine_AnatomyTerm	8533	8533
http://mo-ld.org/resource/ratmine_InteractionDetail	8082	8082
http://mo-ld.org/resource/ratmine_QTL	6958	6958
http://mo-ld.org/resource/ratmine_RSTerm	6112	6112
http://mo-ld.org/resource/ratmine_Interaction	6015	6015
http://mo-ld.org/resource/ratmine_OMIMPhenotype	5813	5813
http://mo-ld.org/resource/ratmine_Strain	2689	2689
http://mo-ld.org/mine_type:DateEntered	2478	2478
http://mo-ld.org/mine_type:Journal	2284	2284
http://mo-ld.org/resource/ratmine_SOTerm	1935	1935
http://mo-ld.org/mine_type:Begin	1892	1892
http://mo-ld.org/mine_type:CytogenticLocation	1747	1747
http://mo-ld.org/resource/ratmine_Expression	1572	1572
http://mo-ld.org/mine_type:Origin	1529	1529
http://mo-ld.org/mine_type:Volume	1521	1521
http://mo-ld.org/resource/ratmine_PWTerm	1424	1424
http://mo-ld.org/mine_type:Pval	1252	1252
http://mo-ld.org/resource/ratmine_InteractionExperiment	1235	1235
http://mo-ld.org/resource/ratmine_InteractionTerm	1171	1171
http://mo-ld.org/resource/ratmine_ECNumber	994	994
http://mo-ld.org/mine_type:Issue	874	874
http://mo-ld.org/resource/ratmine_NBOTerm	812	812
http://mo-ld.org/resource/ratmine_DataPoint	786	786
http://mo-ld.org/resource/ratmine_eQTL	786	786
http://mo-ld.org/resource/ratmine_ProbeSet	627	627
http://mo-ld.org/resource/ratmine_SequenceCollection	627	627
http://mo-ld.org/resource/ratmine_Component	605	605
http://mo-ld.org/resource/ratmine_Pathway	381	381
http://mo-ld.org/mine_type:Source	349	349
http://mo-ld.org/resource/ratmine_Substitution	310	310
http://mo-ld.org/resource/ratmine_SimpleSequenceLengthVariation	310	310
http://mo-ld.org/mine_type:ReaperPValue	295	295
http://mo-ld.org/mine_type:FoldChange	141	141
http://mo-ld.org/mine_type:Relationship	103	103
