Object-Type	Property	Count	Distinct_count
http://mo-ld.org/mine_type:Score	http://mo-ld.org/mine_vocabulary:hasScore	9972661	2696
http://mo-ld.org/resource/yeastmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasBioEntity	3231009	538903
http://mo-ld.org/resource/yeastmine_DataSet	http://mo-ld.org/mine_vocabulary:hasDataSet	3201834	38
http://mo-ld.org/resource/yeastmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasBioEntity	3157262	492826
http://mo-ld.org/resource/yeastmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	2835991	192566
http://mo-ld.org/resource/yeastmine_Gene	http://mo-ld.org/mine_vocabulary:hasGene	2835991	192566
http://mo-ld.org/resource/yeastmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	2835991	192566
http://mo-ld.org/resource/yeastmine_Gene	http://mo-ld.org/mine_vocabulary:hasBioEntity	2483645	202055
http://mo-ld.org/resource/yeastmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	2453356	45568
http://mo-ld.org/resource/yeastmine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	2363062	42146
http://mo-ld.org/resource/yeastmine_BiologicalRegion	http://mo-ld.org/mine_vocabulary:hasBioEntity	2321930	62805
http://mo-ld.org/resource/yeastmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2305766	1152883
http://mo-ld.org/resource/yeastmine_ExpressionScore	http://mo-ld.org/mine_vocabulary:hasExpressionScore	1957497	1957497
http://mo-ld.org/resource/yeastmine_ProteinCodingGene	http://mo-ld.org/mine_vocabulary:hasBioEntity	1897621	6799
http://mo-ld.org/resource/yeastmine_ORF	http://mo-ld.org/mine_vocabulary:hasBioEntity	1891644	6691
http://mo-ld.org/resource/yeastmine_Publication	http://mo-ld.org/mine_vocabulary:hasPublication	1838286	124238
http://mo-ld.org/mine_type:Type	http://mo-ld.org/mine_vocabulary:hasType	1769368	17
http://mo-ld.org/resource/yeastmine_LiteratureTopic	http://mo-ld.org/mine_vocabulary:hasLiteratureTopic	1455743	50
http://mo-ld.org/resource/yeastmine_BiologicalRegion	http://mo-ld.org/mine_vocabulary:hasGene	1375998	7233
http://mo-ld.org/resource/yeastmine_ProteinCodingGene	http://mo-ld.org/mine_vocabulary:hasGene	1343762	6798
http://mo-ld.org/resource/yeastmine_Interaction	http://mo-ld.org/mine_vocabulary:hasInteraction	1339581	669462
http://mo-ld.org/resource/yeastmine_InteractionDetail	http://mo-ld.org/mine_vocabulary:hasInteractionDetail	1338474	669462
http://mo-ld.org/resource/yeastmine_ORF	http://mo-ld.org/mine_vocabulary:hasGene	1317153	6691
http://mo-ld.org/mine_type:Redundant	http://mo-ld.org/mine_vocabulary:hasRedundant	1152883	2
http://mo-ld.org/mine_type:Direct	http://mo-ld.org/mine_vocabulary:hasDirect	1152883	2
http://mo-ld.org/mine_type:Relationship	http://mo-ld.org/mine_vocabulary:hasRelationship	1152883	21
http://mo-ld.org/resource/yeastmine_Homologue	http://mo-ld.org/mine_vocabulary:hasHomologue	981242	981242
http://mo-ld.org/resource/yeastmine_OrthologueEvidence	http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	756832	4
http://mo-ld.org/mine_type:RelationshipType	http://mo-ld.org/mine_vocabulary:hasRelationshipType	669462	5
http://mo-ld.org/mine_type:Role1	http://mo-ld.org/mine_vocabulary:hasRole1	668805	3
http://mo-ld.org/resource/yeastmine_InteractionExperiment	http://mo-ld.org/mine_vocabulary:hasInteractionExperiment	668805	12985
http://mo-ld.org/mine_type:AnnotationType	http://mo-ld.org/mine_vocabulary:hasAnnotationType	668805	2
http://mo-ld.org/resource/yeastmine_Author	http://mo-ld.org/mine_vocabulary:hasAuthor	659315	227001
http://mo-ld.org/resource/yeastmine_Location	http://mo-ld.org/mine_vocabulary:hasLocation	544643	272219
http://mo-ld.org/mine_type:Length	http://mo-ld.org/mine_vocabulary:hasLength	541960	6401
