Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
mold_res:\nyeastmine_ExpressionScore	9972661	9972661	mine_voc:\nhasScore	mine_type:\nScore	9972661	2696
mold_res:\nyeastmine_OntologyRelation	2305766	1152883	mine_voc:\nhasOntologyTerm	mold_res:\nyeastmine_OntologyTerm	2305766	45560
http://mo-ld.org/resource/yeastmine_OntologyTerm	2305766	45560	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/yeastmine_OntologyRelation	2305766	1152883
mold_res:\nyeastmine_OntologyRelation	2249310	1124655	mine_voc:\nhasOntologyTerm	mold_res:\nyeastmine_GOTerm	2249310	42138
http://mo-ld.org/resource/yeastmine_GOTerm	2249310	42138	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/yeastmine_OntologyRelation	2249310	1124655
mold_res:\nyeastmine_Homologue	1962390	981242	mine_voc:\nhasGene	mold_res:\nyeastmine_Gene	1962390	190849
http://mo-ld.org/resource/yeastmine_Homologue	1962390	981242	mine_voc:\nhasGene	mold_res:\nyeastmine_SequenceFeature	1962390	190849
http://mo-ld.org/resource/yeastmine_Homologue	1962390	981242	mine_voc:\nhasGene	mold_res:\nyeastmine_BioEntity	1962390	190849
mold_res:\nyeastmine_BiologicalRegion	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
http://mo-ld.org/resource/yeastmine_Gene	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
http://mo-ld.org/resource/yeastmine_SequenceFeature	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
mold_res:\nyeastmine_ORF	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
mold_res:\nyeastmine_ProteinCodingGene	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
http://mo-ld.org/resource/yeastmine_BioEntity	1957497	1260	mine_voc:\nhasExpressionScore	http://mo-ld.org/resource/yeastmine_ExpressionScore	1957497	1957497
mold_res:\nyeastmine_InteractionDetail	1338267	669462	mine_voc:\nhasDataSet	mold_res:\nyeastmine_DataSet	1338267	3
mold_res:\nyeastmine_Interaction	1336003	669462	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_BioEntity	1336003	6309
http://mo-ld.org/resource/yeastmine_Interaction	1334698	668811	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_Gene	1334698	6009
http://mo-ld.org/resource/yeastmine_Interaction	1334698	668811	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_SequenceFeature	1334698	6009
http://mo-ld.org/resource/yeastmine_Interaction	1334396	668809	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_BiologicalRegion	1334396	6002
http://mo-ld.org/resource/yeastmine_Interaction	1333279	668799	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_ProteinCodingGene	1333279	5804
http://mo-ld.org/resource/yeastmine_Interaction	1332055	668776	mine_voc:\nhasBioEntity	mold_res:\nyeastmine_ORF	1332055	5705
mold_res:\nyeastmine_OntologyRelation	1152883	1152883	mine_voc:\nhasDirect	mine_type:\nDirect	1152883	2
http://mo-ld.org/resource/yeastmine_OntologyRelation	1152883	1152883	mine_voc:\nhasRedundant	mine_type:\nRedundant	1152883	2
http://mo-ld.org/resource/yeastmine_OntologyRelation	1152883	1152883	mine_voc:\nhasRelationship	mine_type:\nRelationship	1152883	21
mold_res:\nyeastmine_PublicationAnnotation	1110727	398429	mine_voc:\nhasLiteratureTopic	mold_res:\nyeastmine_LiteratureTopic	1110727	50
mold_res:\nyeastmine_Homologue	981242	981242	mine_voc:\nhasDataSet	http://mo-ld.org/resource/yeastmine_DataSet	981242	9
http://mo-ld.org/resource/yeastmine_Homologue	981242	981242	mine_voc:\nhasType	mine_type:\nType	981242	5
http://mo-ld.org/resource/yeastmine_Gene	981242	190849	mine_voc:\nhasHomologue	http://mo-ld.org/resource/yeastmine_Homologue	981242	981242
http://mo-ld.org/resource/yeastmine_SequenceFeature	981242	190849	mine_voc:\nhasHomologue	http://mo-ld.org/resource/yeastmine_Homologue	981242	981242
http://mo-ld.org/resource/yeastmine_BioEntity	981242	190849	mine_voc:\nhasHomologue	http://mo-ld.org/resource/yeastmine_Homologue	981242	981242
http://mo-ld.org/resource/yeastmine_Homologue	756832	756832	mine_voc:\nhasOrthologueEvidence	mold_res:\nyeastmine_OrthologueEvidence	756832	4
http://mo-ld.org/resource/yeastmine_Interaction	669462	669462	mine_voc:\nhasInteractionDetail	http://mo-ld.org/resource/yeastmine_InteractionDetail	669462	669462
http://mo-ld.org/resource/yeastmine_InteractionDetail	669462	669462	mine_voc:\nhasRelationshipType	mine_type:\nRelationshipType	669462	5
