URI	Count	Distinct_count
http://mo-ld.org/resource/yeastmine_ExpressionScore	10000000	10000000
http://mo-ld.org/resource/yeastmine_OntologyRelation	1152883	1152883
http://mo-ld.org/resource/yeastmine_Homologue	981242	981242
http://mo-ld.org/resource/yeastmine_Interaction	669462	669462
http://mo-ld.org/resource/yeastmine_InteractionDetail	669462	669462
http://mo-ld.org/resource/yeastmine_BioEntity	538903	538903
http://mo-ld.org/resource/yeastmine_SequenceFeature	492826	492826
http://mo-ld.org/resource/yeastmine_PublicationAnnotation	398429	398429
http://mo-ld.org/mine_type:PrimaryIdentifier	300727	300727
http://mo-ld.org/resource/yeastmine_CrossReference	291316	291316
http://mo-ld.org/resource/yeastmine_Location	272219	272219
http://mo-ld.org/resource/yeastmine_Sequence	270970	270970
http://mo-ld.org/resource/yeastmine_Author	227001	227001
http://mo-ld.org/mine_type:Identifier	224026	224026
http://mo-ld.org/resource/yeastmine_GeneFlankingRegion	217020	217020
http://mo-ld.org/resource/yeastmine_Gene	202055	202055
http://mo-ld.org/resource/yeastmine_OntologyAnnotation	147590	147590
http://mo-ld.org/resource/yeastmine_Phenotype	138320	138320
http://mo-ld.org/resource/yeastmine_Publication	124285	124285
http://mo-ld.org/mine_type:PubMedId	124091	124091
http://mo-ld.org/mine_type:Title	123871	123871
http://mo-ld.org/resource/yeastmine_OntologyTermSynonym	116996	116996
http://mo-ld.org/resource/yeastmine_GOAnnotation	113752	113752
http://mo-ld.org/resource/yeastmine_Synonym	101596	101596
http://mo-ld.org/resource/yeastmine_GOEvidence	96563	96563
http://mo-ld.org/mine_type:Value	96077	96077
http://mo-ld.org/mine_type:SgdDbXrefId	78139	78139
http://mo-ld.org/mine_type:Citation	78128	78128
http://mo-ld.org/mine_type:Description	77311	77311
http://mo-ld.org/mine_type:Symbol	76851	76851
http://mo-ld.org/mine_type:Summary	74807	74807
http://mo-ld.org/mine_type:FirstAuthor	69284	69284
http://mo-ld.org/resource/yeastmine_ProteinDomain	68490	68490
http://mo-ld.org/resource/yeastmine_BiologicalRegion	62805	62805
http://mo-ld.org/mine_type:Residues	56735	56735
http://mo-ld.org/mine_type:Pages	54577	54577
http://mo-ld.org/mine_type:Start	46000	46000
http://mo-ld.org/mine_type:End	45827	45827
http://mo-ld.org/resource/yeastmine_OntologyTerm	45604	45604
http://mo-ld.org/resource/yeastmine_GOTerm	42146	42146
http://mo-ld.org/resource/yeastmine_RegulatoryRegion	33838	33838
http://mo-ld.org/resource/yeastmine_TFBindingSite	33838	33838
http://mo-ld.org/resource/yeastmine_RegulationEvidence	33838	33838
http://mo-ld.org/resource/yeastmine_BindingSite	33838	33838
http://mo-ld.org/mine_type:SgdAlias	24956	24956
http://mo-ld.org/resource/yeastmine_ProteinModificationSite	23103	23103
http://mo-ld.org/resource/yeastmine_MRNA	17906	17906
http://mo-ld.org/resource/yeastmine_Transcript	17906	17906
http://mo-ld.org/mine_type:Evalue	17447	17447
http://mo-ld.org/mine_type:BriefDescription	16945	16945
http://mo-ld.org/resource/yeastmine_ProteinAbundance	16145	16145
http://mo-ld.org/resource/yeastmine_InteractionExperiment	12985	12985
http://mo-ld.org/resource/yeastmine_IntergenicRegion	12742	12742
http://mo-ld.org/resource/yeastmine_ExpressionCondition	10143	10143
http://mo-ld.org/resource/yeastmine_GOEvidenceCode	9607	9607
http://mo-ld.org/mine_type:WithText	9217	9217
http://mo-ld.org/mine_type:SecondaryIdentifier	8154	8154
http://mo-ld.org/resource/yeastmine_CDS	7080	7080
http://mo-ld.org/resource/yeastmine_Protein	6816	6816
http://mo-ld.org/resource/yeastmine_ProteinCodingGene	6799	6799
http://mo-ld.org/mine_type:PrimaryAccession	6709	6709
http://mo-ld.org/resource/yeastmine_ORF	6691	6691
http://mo-ld.org/mine_type:MolecularWeight	6593	6593
http://mo-ld.org/mine_type:Length	6401	6401
http://mo-ld.org/mine_type:Ctermseq	6383	6383
http://mo-ld.org/mine_type:Ntermseq	6356	6356
http://mo-ld.org/mine_type:Details	6057	6057
http://mo-ld.org/resource/yeastmine_Localization	5617	5617
http://mo-ld.org/resource/yeastmine_InterProDomain	5230	5230
http://mo-ld.org/resource/yeastmine_Disease	4446	4446
http://mo-ld.org/mine_type:Hydrogen	4328	4328
http://mo-ld.org/mine_type:Abundance	4048	4048
http://mo-ld.org/mine_type:AliphaticIndex	3907	3907
http://mo-ld.org/mine_type:Allele	3816	3816
http://mo-ld.org/mine_type:ModificationSite	3808	3808
http://mo-ld.org/mine_type:Carbon	3636	3636
http://mo-ld.org/mine_type:InstabilityIndex	3243	3243
http://mo-ld.org/mine_type:Issue	3182	3182
http://mo-ld.org/mine_type:Chemical	2707	2707
http://mo-ld.org/mine_type:Score	2696	2696
http://mo-ld.org/mine_type:Journal	2651	2651
http://mo-ld.org/mine_type:AllCysHalf	2455	2455
http://mo-ld.org/resource/yeastmine_Complement	2004	2004
http://mo-ld.org/mine_type:Volume	1982	1982
http://mo-ld.org/resource/yeastmine_SOTerm	1936	1936
http://mo-ld.org/mine_type:Oxygen	1794	1794
http://mo-ld.org/resource/yeastmine_Interactor	1668	1668
http://mo-ld.org/mine_type:Nitrogen	1625	1625
http://mo-ld.org/mine_type:Reporter	1582	1582
http://mo-ld.org/mine_type:GalactoseCount	1261	1261
http://mo-ld.org/resource/yeastmine_InteractionTerm	1231	1231
http://mo-ld.org/mine_type:GlucoseCount	1187	1187
http://mo-ld.org/mine_type:Condition	1141	1141
http://mo-ld.org/mine_type:FunctionSummary	1125	1125
http://mo-ld.org/mine_type:NoCysHalf	886	886
http://mo-ld.org/mine_type:PI	852	852
http://mo-ld.org/mine_type:ExperimentalNterminalSequence	827	827
http://mo-ld.org/mine_type:FileName	723	723
http://mo-ld.org/mine_type:PhenotypeSummary	649	649
http://mo-ld.org/resource/yeastmine_NoncodingExon	486	486
http://mo-ld.org/resource/yeastmine_ExpressionDataSet	484	484
http://mo-ld.org/resource/yeastmine_RepeatRegion	465	465
http://mo-ld.org/resource/yeastmine_NcRNAGene	435	435
http://mo-ld.org/resource/yeastmine_PredictedBindingSites	423	423
http://mo-ld.org/mine_type:StrainBackground	417	417
http://mo-ld.org/resource/yeastmine_LongTerminalRepeat	387	387
http://mo-ld.org/resource/yeastmine_Intron	377	377
http://mo-ld.org/resource/yeastmine_Complex	371	371
http://mo-ld.org/mine_type:Ordernumber	368	368
http://mo-ld.org/mine_type:Notes	360	360
http://mo-ld.org/resource/yeastmine_OriginOfReplication	360	360
http://mo-ld.org/mine_type:SystematicName	359	359
http://mo-ld.org/resource/yeastmine_ARS	352	352
http://mo-ld.org/mine_type:PubmedID	339	339
http://mo-ld.org/mine_type:AllAuthors	336	336
http://mo-ld.org/mine_type:Function	329	329
http://mo-ld.org/mine_type:Construct	328	328
http://mo-ld.org/mine_type:Author	309	309
http://mo-ld.org/mine_type:NumIntragenicSites	309	309
http://mo-ld.org/mine_type:NumGenes	300	300
http://mo-ld.org/resource/yeastmine_TRNAGene	299	299
http://mo-ld.org/mine_type:NumIntergenicSites	290	290
http://mo-ld.org/mine_type:GravyScore	287	287
http://mo-ld.org/resource/yeastmine_ECOTerm	283	283
http://mo-ld.org/resource/yeastmine_RegulationSummary	271	271
http://mo-ld.org/mine_type:SummaryParagraph	259	259
http://mo-ld.org/resource/yeastmine_Logo	239	239
http://mo-ld.org/mine_type:Ser	232	232
http://mo-ld.org/mine_type:Leu	229	229
http://mo-ld.org/resource/yeastmine_InteractionRegion	207	207
http://mo-ld.org/resource/yeastmine_ARSConsensusSequence	196	196
http://mo-ld.org/mine_type:Error	192	192
http://mo-ld.org/mine_type:Observable	185	185
http://mo-ld.org/resource/yeastmine_Pathway	181	181
http://mo-ld.org/mine_type:Lys	180	180
http://mo-ld.org/resource/yeastmine_ProteinProperty	177	177
http://mo-ld.org/mine_type:Ile	174	174
http://mo-ld.org/mine_type:Glu	170	170
http://mo-ld.org/resource/yeastmine_GOSlimTerm	168	168
http://mo-ld.org/mine_type:Asn	165	165
http://mo-ld.org/mine_type:Thr	164	164
http://mo-ld.org/mine_type:JasparAccession	159	159
http://mo-ld.org/mine_type:Asp	147	147
http://mo-ld.org/mine_type:Val	143	143
http://mo-ld.org/resource/yeastmine_Telomere	142	142
http://mo-ld.org/mine_type:Ala	138	138
http://mo-ld.org/mine_type:CodonBias	133	133
http://mo-ld.org/mine_type:Pro	128	128
http://mo-ld.org/mine_type:Gly	126	126
http://mo-ld.org/mine_type:Phe	126	126
http://mo-ld.org/mine_type:Arg	122	122
http://mo-ld.org/mine_type:Gln	115	115
http://mo-ld.org/mine_type:BootstrapScore	101	101
http://mo-ld.org/mine_type:Year	101	101
http://mo-ld.org/mine_type:ExperimentComment	100	100
http://mo-ld.org/mine_type:Sulphur	96	96
http://mo-ld.org/mine_type:Properties	93	93
http://mo-ld.org/resource/yeastmine_TransposableElementGene	92	92
http://mo-ld.org/mine_type:Cai	90	90
http://mo-ld.org/mine_type:FopScore	84	84
http://mo-ld.org/resource/yeastmine_SnoRNAGene	77	77
http://mo-ld.org/mine_type:His	73	73
http://mo-ld.org/mine_type:NumConds	72	72
http://mo-ld.org/mine_type:ExperimentalNterminalSite	67	67
http://mo-ld.org/mine_type:Met	66	66
http://mo-ld.org/resource/yeastmine_NotInSystematicSequenceOfS288C	55	55
http://mo-ld.org/resource/yeastmine_ExpressionDataSetTag	53	53
http://mo-ld.org/resource/yeastmine_Retrotransposon	50	50
http://mo-ld.org/resource/yeastmine_LiteratureTopic	50	50
http://mo-ld.org/resource/yeastmine_Plus1TranslationalFrameshift	48	48
http://mo-ld.org/mine_type:Cys	48	48
http://mo-ld.org/mine_type:Trp	41	41
http://mo-ld.org/resource/yeastmine_DataSet	40	40
http://mo-ld.org/mine_type:FeatureType	40	40
http://mo-ld.org/mine_type:AromaticityScore	33	33
http://mo-ld.org/mine_type:ShortName	32	32
http://mo-ld.org/mine_type:Species	32	32
http://mo-ld.org/mine_type:TaxonId	32	32
http://mo-ld.org/resource/yeastmine_XElement	32	32
http://mo-ld.org/resource/yeastmine_Organism	32	32
http://mo-ld.org/resource/yeastmine_DataSource	31	31
http://mo-ld.org/resource/yeastmine_TelomericRepeat	31	31
http://mo-ld.org/resource/yeastmine_RRNAGene	30	30
http://mo-ld.org/resource/yeastmine_XElementCombinatorialRepeat	28	28
http://mo-ld.org/mine_type:ExperimentCondition	26	26
http://mo-ld.org/mine_type:ModificationType	26	26
http://mo-ld.org/resource/yeastmine_FivePrimeUTRIntron	24	24
http://mo-ld.org/mine_type:Qualifier	23	23
http://mo-ld.org/mine_type:Site	23	23
http://mo-ld.org/mine_type:Relationship	21	21
http://mo-ld.org/mine_type:JasparFamily	20	20
http://mo-ld.org/mine_type:Genus	19	19
http://mo-ld.org/resource/yeastmine_YPrimeElement	19	19
http://mo-ld.org/mine_type:Code	18	18
http://mo-ld.org/mine_type:PublicationYear	18	18
http://mo-ld.org/mine_type:Type	17	17
http://mo-ld.org/resource/yeastmine_Chromosome	17	17
http://mo-ld.org/resource/yeastmine_Centromere	16	16
http://mo-ld.org/resource/yeastmine_CentromereDNAElementI	16	16
http://mo-ld.org/resource/yeastmine_CentromereDNAElementII	16	16
http://mo-ld.org/resource/yeastmine_CentromereDNAElementIII	16	16
http://mo-ld.org/resource/yeastmine_Pseudogene	16	16
http://mo-ld.org/mine_type:Modification	15	15
http://mo-ld.org/mine_type:Method	14	14
http://mo-ld.org/resource/yeastmine_SmallMolecule	13	13
http://mo-ld.org/mine_type:ExperimentType	12	12
http://mo-ld.org/mine_type:Assay	11	11
http://mo-ld.org/mine_type:Stoichiometry	11	11
http://mo-ld.org/mine_type:MutantType	10	10
http://mo-ld.org/mine_type:CommonName	8	8
http://mo-ld.org/resource/yeastmine_MatrixAttachmentSite	8	8
http://mo-ld.org/resource/yeastmine_ExternalTranscribedSpacerRegion	8	8
http://mo-ld.org/resource/yeastmine_InternalTranscribedSpacerRegion	8	8
http://mo-ld.org/mine_type:JasparClass	8	8
http://mo-ld.org/mine_type:RegulationDirection	7	7
http://mo-ld.org/mine_type:Url	6	6
http://mo-ld.org/mine_type:BiologicalRole	6	6
http://mo-ld.org/resource/yeastmine_BlockedReadingFrame	6	6
http://mo-ld.org/resource/yeastmine_SnRNAGene	6	6
http://mo-ld.org/resource/yeastmine_NotPhysicallyMapped	6	6
http://mo-ld.org/mine_type:RelationshipType	5	5
http://mo-ld.org/mine_type:Direction	5	5
