Object-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/zebrafishmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasBioEntity	5207795	331237
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasBioEntity	5077605	254306
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasCrossReference	3446413	3358586
http://mo-ld.org/mine_type:Identifier	http://mo-ld.org/mine_vocabulary:hasIdentifier	3426786	1941809
http://mo-ld.org/resource/zebrafishmine_DataSource	http://mo-ld.org/mine_vocabulary:hasDataSource	3358634	42
http://mo-ld.org/mine_type:LinkType	http://mo-ld.org/mine_vocabulary:hasLinkType	3324720	9
http://mo-ld.org/resource/zebrafishmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	3119350	56780
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2663004	1331502
http://mo-ld.org/resource/zebrafishmine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	2506779	42616
http://mo-ld.org/resource/zebrafishmine_Gene	http://mo-ld.org/mine_vocabulary:hasBioEntity	2401984	97935
http://mo-ld.org/resource/zebrafishmine_Reagent	http://mo-ld.org/mine_vocabulary:hasBioEntity	1718855	65616
http://mo-ld.org/resource/zebrafishmine_DataSet	http://mo-ld.org/mine_vocabulary:hasDataSet	1685970	48
http://mo-ld.org/resource/zebrafishmine_Clone	http://mo-ld.org/mine_vocabulary:hasBioEntity	1627282	52910
http://mo-ld.org/resource/zebrafishmine_DNAClone	http://mo-ld.org/mine_vocabulary:hasBioEntity	1366432	13793
http://mo-ld.org/mine_type:Redundant	http://mo-ld.org/mine_vocabulary:hasRedundant	1331502	2
http://mo-ld.org/mine_type:Direct	http://mo-ld.org/mine_vocabulary:hasDirect	1331502	2
http://mo-ld.org/mine_type:Relationship	http://mo-ld.org/mine_vocabulary:hasRelationship	1331502	46
http://mo-ld.org/mine_type:PrimaryIdentifier	http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	1327220	1080933
http://mo-ld.org/resource/zebrafishmine_Publication	http://mo-ld.org/mine_vocabulary:hasPublication	1273400	23653
http://mo-ld.org/resource/zebrafishmine_Expression	http://mo-ld.org/mine_vocabulary:hasExpression	1014108	312155
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasGene	720534	96750
http://mo-ld.org/resource/zebrafishmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasGene	720534	96750
http://mo-ld.org/resource/zebrafishmine_Gene	http://mo-ld.org/mine_vocabulary:hasGene	720534	96750
http://mo-ld.org/resource/zebrafishmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasZFATerm	686377	1729
http://mo-ld.org/resource/zebrafishmine_AnatomyTerm	http://mo-ld.org/mine_vocabulary:hasZFATerm	686377	1729
http://mo-ld.org/resource/zebrafishmine_ZFATerm	http://mo-ld.org/mine_vocabulary:hasZFATerm	686377	1729
http://mo-ld.org/mine_type:Value	http://mo-ld.org/mine_vocabulary:hasValue	671909	509585
http://mo-ld.org/resource/zebrafishmine_Synonym	http://mo-ld.org/mine_vocabulary:hasSynonym	645747	645747
http://mo-ld.org/resource/zebrafishmine_Figure	http://mo-ld.org/mine_vocabulary:hasFigure	597947	85101
http://mo-ld.org/resource/zebrafishmine_SequenceAlteration	http://mo-ld.org/mine_vocabulary:hasBioEntity	485459	47244
http://mo-ld.org/resource/zebrafishmine_Transcript	http://mo-ld.org/mine_vocabulary:hasBioEntity	466958	43325
http://mo-ld.org/resource/zebrafishmine_AnatomyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	445063	3003
http://mo-ld.org/resource/zebrafishmine_ZFATerm	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	445063	3003
http://mo-ld.org/resource/zebrafishmine_Environment	http://mo-ld.org/mine_vocabulary:hasEnvironment	431491	14664
http://mo-ld.org/resource/zebrafishmine_Phenotype	http://mo-ld.org/mine_vocabulary:hasPhenotype	421610	104141
http://mo-ld.org/resource/zebrafishmine_Fish	http://mo-ld.org/mine_vocabulary:hasFish	416296	23462
http://mo-ld.org/resource/zebrafishmine_Organism	http://mo-ld.org/mine_vocabulary:hasOrganism	378018	4
http://mo-ld.org/resource/zebrafishmine_GOAnnotation	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	359510	179755
http://mo-ld.org/resource/zebrafishmine_OntologyAnnotation	http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	359510	179755
http://mo-ld.org/mine_type:Type	http://mo-ld.org/mine_vocabulary:hasType	320441	32
http://mo-ld.org/mine_type:ExpressionFound	http://mo-ld.org/mine_vocabulary:hasExpressionFound	312155	2
http://mo-ld.org/mine_type:Assay	http://mo-ld.org/mine_vocabulary:hasAssay	312155	13
http://mo-ld.org/resource/zebrafishmine_Insertion	http://mo-ld.org/mine_vocabulary:hasBioEntity	280569	21795
http://mo-ld.org/resource/zebrafishmine_TransgenicInsertion	http://mo-ld.org/mine_vocabulary:hasBioEntity	279675	21712
http://mo-ld.org/resource/zebrafishmine_RNAClone	http://mo-ld.org/mine_vocabulary:hasBioEntity	260850	39117
