URI	Count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	12642689
http://mo-ld.org/mine_vocabulary:hasBioEntity	5207795
http://www.w3.org/1999/02/22-rdf-syntax-ns#value	4265311
http://mo-ld.org/mine_vocabulary:hasCrossReference	3446413
http://mo-ld.org/mine_vocabulary:hasIdentifier	3426786
http://mo-ld.org/mine_vocabulary:hasDataSource	3358634
http://mo-ld.org/mine_vocabulary:hasLinkType	3324720
http://mo-ld.org/mine_vocabulary:hasOntologyTerm	3119350
http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2663004
http://mo-ld.org/mine_vocabulary:hasDataSet	1685970
http://mo-ld.org/mine_vocabulary:hasDirect	1331502
http://mo-ld.org/mine_vocabulary:hasRedundant	1331502
http://mo-ld.org/mine_vocabulary:hasRelationship	1331502
http://mo-ld.org/mine_vocabulary:hasPrimaryIdentifier	1327220
http://mo-ld.org/mine_vocabulary:hasPublication	1273400
http://www.w3.org/2004/02/skos/core#exactMatch	1102634
http://mo-ld.org/mine_vocabulary:hasExpression	1014108
http://mo-ld.org/mine_vocabulary:hasGene	720534
http://mo-ld.org/mine_vocabulary:hasZFATerm	686377
http://mo-ld.org/mine_vocabulary:hasValue	671909
http://mo-ld.org/mine_vocabulary:hasSynonym	645747
http://mo-ld.org/mine_vocabulary:hasFigure	597947
http://www.w3.org/2000/01/rdf-schema#label	541745
http://mo-ld.org/mine_vocabulary:hasEnvironment	431491
http://mo-ld.org/mine_vocabulary:hasPhenotype	421610
http://mo-ld.org/mine_vocabulary:hasFish	416296
http://mo-ld.org/mine_vocabulary:hasOrganism	378018
http://mo-ld.org/mine_vocabulary:hasOntologyAnnotation	359510
http://mo-ld.org/mine_vocabulary:hasType	320441
http://mo-ld.org/mine_vocabulary:hasExpressionFound	312155
http://mo-ld.org/mine_vocabulary:hasAssay	312155
http://mo-ld.org/mine_vocabulary:hasSymbol	259071
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidence	246109
http://mo-ld.org/mine_vocabulary:hasOrthologueEvidenceCode	246109
http://mo-ld.org/mine_vocabulary:hasSOTerm	201395
http://mo-ld.org/mine_vocabulary:hasGOAnnotation	179755
http://mo-ld.org/mine_vocabulary:hasGOEvidence	179323
