Subject-Type	Property	Count	Distinct_count
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasIdentifier	3358586	3358586
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasDataSource	3358586	3358586
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3358586	3358586
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasLinkType	3324720	3324720
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://mo-ld.org/mine_vocabulary:hasBioEntity	3277023	3277023
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	http://mo-ld.org/mine_vocabulary:hasCrossReference	3277023	162765
http://mo-ld.org/resource/zebrafishmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasCrossReference	3277023	162765
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasOntologyTerm	2663004	1331502
http://mo-ld.org/resource/zebrafishmine_OntologyTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2663004	55993
http://mo-ld.org/resource/zebrafishmine_GOTerm	http://mo-ld.org/mine_vocabulary:hasOntologyRelation	2276568	42428
http://mo-ld.org/mine_type:Identifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	1941809	1941809
http://mo-ld.org/mine_type:Identifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1941809	1941809
http://mo-ld.org/resource/zebrafishmine_Gene	http://mo-ld.org/mine_vocabulary:hasCrossReference	1641769	31245
http://mo-ld.org/resource/zebrafishmine_Reagent	http://mo-ld.org/mine_vocabulary:hasCrossReference	1369068	53657
http://mo-ld.org/resource/zebrafishmine_Clone	http://mo-ld.org/mine_vocabulary:hasCrossReference	1368084	52679
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRedundant	1331502	1331502
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasDirect	1331502	1331502
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1331502	1331502
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	http://mo-ld.org/mine_vocabulary:hasRelationship	1331502	1331502
http://mo-ld.org/resource/zebrafishmine_DNAClone	http://mo-ld.org/mine_vocabulary:hasCrossReference	1310175	13793
http://mo-ld.org/resource/zebrafishmine_BioEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1124467	331237
http://mo-ld.org/mine_type:PrimaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#value	1080933	1080933
http://mo-ld.org/mine_type:PrimaryIdentifier	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	1080933	1080933
http://mo-ld.org/resource/zebrafishmine_CrossReference	http://www.w3.org/2004/02/skos/core#exactMatch	1048576	1048576
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	970605	254306
http://mo-ld.org/resource/zebrafishmine_DataSet	http://mo-ld.org/mine_vocabulary:hasBioEntity	688999	31
http://mo-ld.org/resource/zebrafishmine_BioEntity	http://mo-ld.org/mine_vocabulary:hasDataSet	688999	331237
