URI	Count	Distinct_count
http://mo-ld.org/resource/zebrafishmine_CrossReference	3358586	3358586
http://mo-ld.org/mine_type:Identifier	1941809	1941809
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	1331502	1331502
http://mo-ld.org/mine_type:PrimaryIdentifier	1080933	1080933
http://mo-ld.org/resource/zebrafishmine_Synonym	671910	671910
http://mo-ld.org/mine_type:Value	509585	509585
http://mo-ld.org/resource/zebrafishmine_BioEntity	331237	331237
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155
http://mo-ld.org/mine_type:Symbol	259040	259040
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	254306	254306
http://mo-ld.org/resource/zebrafishmine_OrthologueEvidence	246109	246109
http://mo-ld.org/resource/zebrafishmine_GOAnnotation	179755	179755
http://mo-ld.org/resource/zebrafishmine_OntologyAnnotation	179755	179755
http://mo-ld.org/resource/zebrafishmine_GOEvidence	179323	179323
http://mo-ld.org/resource/zebrafishmine_OntologyTermSynonym	135217	135217
http://mo-ld.org/resource/zebrafishmine_Homologue	117711	117711
http://mo-ld.org/resource/zebrafishmine_Phenotype	104141	104141
http://mo-ld.org/resource/zebrafishmine_Gene	97935	97935
http://mo-ld.org/resource/zebrafishmine_Image	96656	96656
http://mo-ld.org/resource/zebrafishmine_Figure	85101	85101
http://mo-ld.org/resource/zebrafishmine_Protein	76931	76931
http://mo-ld.org/resource/zebrafishmine_Reagent	65616	65616
http://mo-ld.org/resource/zebrafishmine_OntologyTerm	56795	56795
http://mo-ld.org/mine_type:PrimaryAccession	53259	53259
http://mo-ld.org/resource/zebrafishmine_Clone	52910	52910
http://mo-ld.org/mine_type:Description	50110	50110
http://mo-ld.org/resource/zebrafishmine_SequenceAlteration	47244	47244
http://mo-ld.org/resource/zebrafishmine_Transcript	43325	43325
http://mo-ld.org/resource/zebrafishmine_GOTerm	42616	42616
http://mo-ld.org/mine_type:FeatureId	40915	40915
http://mo-ld.org/resource/zebrafishmine_RNAClone	39117	39117
http://mo-ld.org/mine_type:Label	37562	37562
http://mo-ld.org/mine_type:Handle	31291	31291
http://mo-ld.org/resource/zebrafishmine_Fish	31291	31291
http://mo-ld.org/resource/zebrafishmine_Publication	23653	23653
http://mo-ld.org/mine_type:PubMedId	22266	22266
http://mo-ld.org/mine_type:AccessionNumber	22264	22264
http://mo-ld.org/mine_type:Title	22258	22258
http://mo-ld.org/resource/zebrafishmine_Insertion	21795	21795
http://mo-ld.org/resource/zebrafishmine_TransgenicInsertion	21712	21712
http://mo-ld.org/resource/zebrafishmine_Substitution	21508	21508
http://mo-ld.org/mine_type:FirstAuthor	21446	21446
http://mo-ld.org/mine_type:AuthorNames	21446	21446
http://mo-ld.org/mine_type:Doi	20880	20880
http://mo-ld.org/resource/zebrafishmine_Genotype	20631	20631
http://mo-ld.org/mine_type:GenoHandle	20628	20628
http://mo-ld.org/mine_type:GenoDisplayName	18999	18999
http://mo-ld.org/mine_type:WithText	18629	18629
http://mo-ld.org/mine_type:Pages	16672	16672
http://mo-ld.org/resource/zebrafishmine_EnvironmentalCondition	15195	15195
http://mo-ld.org/resource/zebrafishmine_PointMutation	15177	15177
http://mo-ld.org/resource/zebrafishmine_Environment	14664	14664
http://mo-ld.org/resource/zebrafishmine_DNAClone	13793	13793
http://mo-ld.org/resource/zebrafishmine_Sequence	11411	11411
http://mo-ld.org/mine_type:Residues	11403	11403
http://mo-ld.org/resource/zebrafishmine_MorpholinoOligo	8385	8385
http://mo-ld.org/resource/zebrafishmine_Person	7477	7477
http://mo-ld.org/mine_type:FullName	7447	7447
http://mo-ld.org/resource/zebrafishmine_DOTerm	7233	7233
http://mo-ld.org/mine_type:Email	6448	6448
http://mo-ld.org/mine_type:Volume	6150	6150
http://mo-ld.org/mine_type:LastName	5494	5494
http://mo-ld.org/mine_type:Disease	4729	4729
http://mo-ld.org/resource/zebrafishmine_OmimPhenotype	4729	4729
http://mo-ld.org/resource/zebrafishmine_SimpleSequenceLengthVariation	4303	4303
http://mo-ld.org/mine_type:FirstName	4191	4191
http://mo-ld.org/resource/zebrafishmine_Construct	3261	3261
http://mo-ld.org/resource/zebrafishmine_Tag	3097	3097
http://mo-ld.org/resource/zebrafishmine_STS	3097	3097
http://mo-ld.org/resource/zebrafishmine_AnatomyTerm	3004	3004
http://mo-ld.org/resource/zebrafishmine_ZFATerm	3004	3004
http://mo-ld.org/resource/zebrafishmine_Journal	2329	2329
http://mo-ld.org/mine_type:Abbrev	2328	2328
http://mo-ld.org/mine_type:InsertSize	2161	2161
http://mo-ld.org/resource/zebrafishmine_Antibody	2027	2027
http://mo-ld.org/resource/zebrafishmine_SNP	2024	2024
http://mo-ld.org/resource/zebrafishmine_SOTerm	1951	1951
http://mo-ld.org/resource/zebrafishmine_PATOTerm	1638	1638
http://mo-ld.org/mine_type:Phone	1111	1111
http://mo-ld.org/resource/zebrafishmine_Lab	1017	1017
http://mo-ld.org/mine_type:Fax	876	876
http://mo-ld.org/mine_type:PCR	854	854
http://mo-ld.org/mine_type:Url	848	848
http://mo-ld.org/resource/zebrafishmine_FeaturePrefix	383	383
http://mo-ld.org/mine_type:InstituteName	365	365
http://mo-ld.org/mine_type:Publisher	295	295
http://mo-ld.org/resource/zebrafishmine_Deletion	235	235
http://mo-ld.org/resource/zebrafishmine_RAPD	221	221
http://mo-ld.org/resource/zebrafishmine_Company	184	184
http://mo-ld.org/resource/zebrafishmine_Pseudogene	159	159
